source_id,release_date,title,package
fc,1987-10-23,ミネルバトンサーガ ラゴンの復活,true
fc,1987-10-26,桃太郎伝説,true
fc,1987-10-27,星をみるひと,true
fc,1987-10-28,カラオケスタジオ 専用カセットVol.1,true
fc,1987-10-30,サイドポケット,true
fc,1987-10-30,ジャウスト,true
fc,1987-10-30,ロマンシア,true
fc,1987-11-06,ルパン三世 パンドラの遺産,true
fc,1987-11-06,宇宙船コスモキャリア,true
fc,1987-11-13,アルテリオス,true
fc,1987-11-16,ファザナドゥ,true
fc,1987-11-21,マイクタイソン・パンチアウト!!,true
fc,1987-11-27,ファミトレ大運動会,true
fc,1987-11-27,時空勇伝デビアス,true
fc,1987-12-04,アウトランダーズ,true
fc,1987-12-04,スター・ウォーズ,true
fc,1987-12-04,ドラゴンスクロール 甦りし魔竜,true
fc,1987-12-04,ランボー,true
fc,1987-12-04,上海,true
fc,1987-12-07,JJ(ジェイジェイ),true
fc,1987-12-09,ゴルフ倶楽部 バーディーラッシュ,true
fc,1987-12-11,トップガン,true
fc,1987-12-11,ファミリーテニス,true
fc,1987-12-11,山村美紗サスペンス 京都龍の寺殺人事件,true
fc,1987-12-12,鉄道王,true
fc,1987-12-15,マグナム危機一髪 エンパイアシティ1931,true
fc,1987-12-15,銀河の三人,true
fc,1987-12-16,エキサイティングボクシング,true
fc,1987-12-17,ロックマン,true
fc,1987-12-18,カルノフ,true
fc,1987-12-18,スティックハンター,true
fc,1987-12-18,タイトーグランプリ 栄光へのライセンス,true
fc,1987-12-18,ファイナルファンタジー,true
fc,1987-12-18,目指せパチプロ パチ夫くん,true
fc,1987-12-22,ウィザードリィ,true
fc,1987-12-22,ゲゲゲの鬼太郎2 妖怪軍団の挑戦,true
fc,1987-12-22,スーパーマン,true
fc,1987-12-22,プロ野球ファミリースタジアム'87,true
fc,1987-12-22,メタルギア,true
fc,1987-12-26,アタックアニマル学園,true
fc,1987-12-28,ファミリートレーナー 突撃!風雲たけし城,true
fc,1988-01-06,ファミリーサーキット,true
fc,1988-01-07,殺意の階層 ソフトハウス連続殺人事件,true
fc,1988-01-14,コナミワイワイワールド,true
fc,1988-01-22,スケバン刑事III,true
fc,1988-01-23,リップルアイランド,true
fc,1988-01-29,ドナルドランド,true
fc,1988-02-01,ジャンボ尾崎のホールインワンプロフェッショナル,true
fc,1988-02-01,パリ・ダカール・ラリー・スペシャル,true
fc,1988-02-03,仮面ライダー倶楽部 激突ショッカーランド,true
fc,1988-02-05,ガーディック外伝,true
fc,1988-02-09,魂斗羅,true
fc,1988-02-10,ドラゴンクエストIII そして伝説へ…,true
fc,1988-02-18,カラオケスタジオ 専用カセットVol.2,true
fc,1988-02-18,松本亨の株式必勝学,true
fc,1988-02-26,探偵 神宮寺三郎 横浜港連続殺人事件,true
fc,1988-02-26,鉄腕アトム,true
fc,1988-03-04,ルーカスフィルム ボールブレイザー,true
fc,1988-03-08,アルカノイドII リベンジオブドゥ,true
fc,1988-03-10,シュワルツェネッガー プレデター,true
fc,1988-03-17,釣りキチ三平 ブルーマーリン編,true
fc,1988-03-18,ナポレオン戦記,true
fc,1988-03-18,信長の野望・全国版,true
fc,1988-03-18,谷川浩司の将棋指南II &lt;名人への道&gt,true
fc,1988-03-24,ファイティングゴルフ,true
fc,1988-03-26,ゴルゴ13 第一章神々の黄昏,true
fc,1988-03-28,オリュンポスの戦い 愛の伝説,true
fc,1988-03-28,武田信玄,true
fc,1988-03-29,フリートコマンダー,true
fc,1988-03-29,不動明王伝,true
fc,1988-03-30,ビー・バップ・ハイスクール 高校生極楽伝説,true
fc,1988-04-05,独眼竜政宗,true
fc,1988-04-08,ジーキル博士の彷魔が刻,true
fc,1988-04-08,ダブルドラゴン,true
fc,1988-04-15,燃えろ!!プロテニス,true
fc,1988-04-16,怒II DOGOSOKEN,true
fc,1988-04-28,エリュシオン,true
fc,1988-04-28,キャプテン翼,true
fc,1988-04-28,戦車戦略 砂漠の狐,true
fc,1988-05-13,ディープダンジョンIII 勇士への旅,true
fc,1988-05-13,名探偵ホームズ 霧のロンドン殺人事件,true
fc,1988-05-20,仮面の忍者 赤影,true
fc,1988-05-27,サラダの国のトマト姫,true
fc,1988-05-27,ナムコクラシック,true
fc,1988-05-27,将軍,true
fc,1988-05-27,忍者くん 阿修羅ノ章,true
fc,1988-05-30,聖闘士星矢 黄金伝説完結編,true
fc,1988-06-03,コスモポリス ギャリバン,true
fc,1988-06-17,超惑星戦記 メタファイト,true
fc,1988-06-20,1943,true
fc,1988-06-24,妖怪道中記,true
fc,1988-06-27,真田十勇士,true
fc,1988-06-28,究極ハリキリスタジアム,true
fc,1988-07-14,スーパーブラックオニキス,true
fc,1988-07-15,じゃりン子チエ ばくだん娘の幸せさがし,true
fc,1988-07-15,ベストプレープロ野球,true
fc,1988-07-15,伝説の騎士エルロンド,true
fc,1988-07-20,ヒットラーの復活 TOP SECRET,true
fc,1988-07-21,めぞん一刻 〜想いでのフォトグラフ〜,true
fc,1988-07-22,カイの冒険,true
fc,1988-07-22,カケフくんのジャンプ天国 スピード地獄,true
fc,1988-07-26,レインボーアイランド,true
fc,1988-07-26,熱血高校ドッジボール部,true
fc,1988-07-29,グレートタンク,true
fc,1988-07-29,三国志 中原の覇者,true
fc,1988-07-29,飛龍の拳II ドラゴンの翼,true
fc,1988-07-30,スーパーリアルベースボール,true
fc,1988-08-03,太陽の神殿,true
fc,1988-08-09,エッガーランド 迷宮の復活,true
fc,1988-08-10,ザ・マネーゲーム,true
fc,1988-08-10,燃えろ!!プロ野球'88決定版,true
fc,1988-08-10,闘将!!拉麵男 炸裂超人一〇二芸,true
fc,1988-08-11,水戸黄門II 世界漫遊記,true
fc,1988-08-12,サッカーリーグ ウィナーズカップ,true
fc,1988-08-12,ドラゴンボール 大魔王復活,true
fc,1988-08-12,ファイナルラップ,true
fc,1988-08-12,ファミコンウォーズ,true
fc,1988-08-12,マッド・シティ,true
fc,1988-08-19,不如帰,true
fc,1988-08-23,スーパーピンボール,true
fc,1988-08-26,イース,true
fc,1988-08-26,スーパーダイナミックスバドミントン,true
fc,1988-08-26,亀の恩返し〜ウラシマ伝説〜,true
fc,1988-09-02,ファミコン名人戦,true
fc,1988-09-13,マニアックマンション,true
fc,1988-09-16,コナミックスポーツ イン ソウル,true
fc,1988-09-16,霊幻道士,true
fc,1988-09-21,孔雀王,true
fc,1988-09-22,ドナルドダック,true
fc,1988-09-27,えりかとさとるの夢冒険,true
fc,1988-09-27,エイト・アイズ,true
fc,1988-09-30,VIVA LASVEGAS,true
fc,1988-09-30,ナイトライダー,true
fc,1988-10-11,ベストプレープロ野球 新データ,true
