ID	title	language	region	release_date	serial
RVL-R2KP-EUR	Don King Boxing	English / French / German / Italian / Spanish	PAL	N/A	RVL-R2KP-EUR
RVL-R2LJ-JPN	Hula Wii: Hula de Hajimeru: Bi to Kenkou!	Japanese	NTSC-J	N/A	RVL-R2LJ-JPN
RVL-R2ME-USA	M&M's Adventure	English	NTSC-U	N/A	RVL-R2ME-USA
RVL-R2NE-USA	NASCAR Kart Racing	English	NTSC-U	N/A	RVL-R2NE-USA
RVL-R2OE-USA	Medieval Games	English	NTSC-U	N/A	RVL-R2OE-USA
RVL-R2OP-EUR	Medieval Games	English / French / German / Italian / Spanish	PAL	N/A	RVL-R2OP-EUR
RVL-R2PE-USA	Super Swing Golf Season 2	English	NTSC-U	N/A	RVL-R2PE-USA
RVL-R2PJ-JPN	Swing Golf Pangya 2nd Shot!	Japanese	NTSC-J	N/A	RVL-R2PJ-JPN
RVL-R2PK-KOR	Swing Golf Pangya 2nd Shot!	Korean	NTSC-J	N/A	RVL-R2PK-KOR
RVL-R2PP-EUR	Super Swing Golf	English	PAL	N/A	RVL-R2PP-EUR
RVL-R2QJ-JPN	Cooking Mama 2: Taihen!! Mama wa Ooisogashi!	Japanese	NTSC-J	N/A	RVL-R2QJ-JPN
RVL-R2RE-USA	Pony Friends 2	English / French / Spanish	NTSC-U	N/A	RVL-R2RE-USA
RVL-R2RP-EUR	Pony Friends 2	English / French / German / Italian / Spanish	PAL	N/A	RVL-R2RP-EUR
RVL-R2SE-USA	Deca Sports 2	English / French / Spanish	NTSC-U	N/A	RVL-R2SE-USA
RVL-R2SJ-JPN	Deca Sporta 2: Wii de Sports "10" Shumoku!	Japanese	NTSC-J	N/A	RVL-R2SJ-JPN
RVL-R2SP-EUR	Sports Island 2	English / French / German / Italian / Spanish	PAL	N/A	RVL-R2SP-EUR
RVL-R2TE-USA	Teenage Mutant Ninja Turtles: Smash-Up	English / French / German / Italian / Spanish	NTSC-U	N/A	RVL-R2TE-USA
RVL-R2TP-EUR	Teenage Mutant Ninja Turtles: Smash-Up	English / French / German / Italian / Spanish	PAL	N/A	RVL-R2TP-EUR
RVL-R2UE-USA	Let's Tap	English / French / Spanish	NTSC-U	N/A	RVL-R2UE-USA
RVL-R2UJ-JPN	Let's Tap	N/A	NTSC-J	N/A	RVL-R2UJ-JPN
RVL-R2UP-EUR	Let's Tap	English / French / German / Italian / Spanish	PAL	N/A	RVL-R2UP-EUR
RVL-R2VE-USA	Sin & Punishment: Star Successor	English	NTSC-U	N/A	RVL-R2VE-USA
RVL-R2VJ-JPN	Tsumi to Batsu: Sora no Koukeisha	Japanese	NTSC-J	N/A	RVL-R2VJ-JPN
RVL-R2VP-EUR	Sin and Punishment: Successor of the Skies	English / French / German / Italian / Spanish	PAL	N/A	RVL-R2VP-EUR
RVL-R2WE-USA	PES 2009: Pro Evolution Soccer	English / French / Portuguese / Spanish	NTSC-U	N/A	RVL-R2WE-USA
RVL-R2WJ-JPN	Winning Eleven Play Maker 2009	N/A	NTSC-J	N/A	RVL-R2WJ-JPN
RVL-R2WP-EUR	PES 2009: Pro Evolution Soccer	English / French / German	PAL	N/A	RVL-R2WP-EUR
RVL-R2WX-EUU	PES 2009: Pro Evolution Soccer	Italian / Portuguese / Spanish	PAL	N/A	RVL-R2WX-EUU
RVL-R2YE-USA	Birthday Party Bash	English / French / Spanish	NTSC-U	N/A	RVL-R2YE-USA
RVL-R2YP-EUR	It's My Birthday	Danish / Dutch / English / French / German / Italian / Norwegian / Spanish / Swedish	PAL	N/A	RVL-R2YP-EUR
RVL-R32J-JPN	Metroid Prime 2: Dark Echoes	Japanese	NTSC-J	N/A	RVL-R32J-JPN
RVL-R33E-USA	AC/DC Live: Rock Band Track Pack	English	NTSC-U	N/A	RVL-R33E-USA
RVL-R33P-EUR	AC/DC Live: Rock Band	English / French / German / Italian / Spanish	PAL	N/A	RVL-R33P-EUR
RVL-R34E-USA	Rock Band: Country Track Pack	English	NTSC-U	N/A	RVL-R34E-USA
RVL-R35J-JPN	Sangokushi 11 with Power-Up Kit	Japanese	NTSC-J	N/A	RVL-R35J-JPN
RVL-R36E-USA	Green Day: Rock Band	English / French / Spanish	NTSC-U	N/A	RVL-R36E-USA
RVL-R36P-EUR	Green Day: Rock Band	English / French / German / Italian / Spanish	PAL	N/A	RVL-R36P-EUR
RVL-R37E-USA	Rock Band: Metal Track Pack	English	NTSC-U	N/A	RVL-R37E-USA
RVL-R38E-USA	Marvel Super Hero Squad	English / French / Spanish	NTSC-U	N/A	RVL-R38E-USA
RVL-R38P-EUR	Marvel Super Hero Squad	Dutch / English / French / German	PAL	N/A	RVL-R38P-EUR
RVL-R38X-USA	Marvel Super Hero Squad	English / French / Spanish	NTSC-U	N/A	RVL-R38X-USA
RVL-R38Y-EUU	Marvel Super Hero Squad	Italian / Spanish	PAL	N/A	RVL-R38Y-EUU
RVL-R39E-USA	Shimano Xtreme Fishing	English	NTSC-U	N/A	RVL-R39E-USA
RVL-R39P-EUR	Shimano Extreme Fishing	Danish / Dutch / English / French / German / Italian / Norwegian / Portuguese / Spanish / Swedish	PAL	N/A	RVL-R39P-EUR
RVL-R3AE-USA	Story Hour: Adventures	English / Spanish	NTSC-U	N/A	RVL-R3AE-USA
RVL-R3AP-EUR	Story Hour: Adventures	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3AP-EUR
RVL-R3BE-USA	Samba de Amigo	English / French / Spanish	NTSC-U	N/A	RVL-R3BE-USA
RVL-R3BJ-JPN	Samba de Amigo	N/A	NTSC-J	N/A	RVL-R3BJ-JPN
RVL-R3BP-EUR	Samba de Amigo	Dutch / English / French / German	PAL	N/A	RVL-R3BP-EUR
RVL-R3CE-USA	Chrysler Classic Racing	English / French / German / Italian / Spanish	NTSC-U	N/A	RVL-R3CE-USA
RVL-R3CP-EUR	Chrysler Classic Racing	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3CP-EUR
RVL-R3DE-USA	Dream Pinball 3D	English / French / Spanish	NTSC-U	N/A	RVL-R3DE-USA
RVL-R3DP-EUR	Dream Pinball 3D	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3DP-EUR
RVL-R3EE-USA	Game Party 3	English / French / Spanish	NTSC-U	N/A	RVL-R3EE-USA
RVL-R3EP-EUR	Game Party 3	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3EP-EUR
RVL-R3FJ-JPN	Jikkyou Powerful Major League 3	Japanese	NTSC-J	N/A	RVL-R3FJ-JPN
RVL-R3GX-EUR	Kidz Sports Crazy Mini Golf	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R3GX-EUR
RVL-R3HP-EUR	Agent Hugo: Hula Holiday	Dutch / English / French / German / Italian / Portuguese / Spanish	PAL	N/A	RVL-R3HP-EUR
RVL-R3HX-SCN	Agent Hugo: Hula Holiday	Danish / English / Finnish / Norwegian / Swedish	PAL	N/A	RVL-R3HX-SCN
RVL-R3IJ-JPN	Metroid Prime	Japanese	NTSC-J	N/A	RVL-R3IJ-JPN
RVL-R3JE-USA	Go Play: Circus Star	English	NTSC-U	N/A	RVL-R3JE-USA
RVL-R3KP-UKV	Skyscraper	English	PAL	N/A	RVL-R3KP-UKV
RVL-R3LE-USA	Green Lantern: Rise of the Manhunters	English / French / Portuguese / Spanish	NTSC-U	N/A	RVL-R3LE-USA
RVL-R3LP-EUR	Green Lantern: Rise of the Manhunters	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R3LP-EUR
RVL-R3ME-USA	Metroid Prime Trilogy	English	NTSC-U	N/A	RVL-R3ME-USA
RVL-R3MP-EUR	Metroid Prime Trilogy	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3MP-EUR
RVL-R3NE-USA	Guilty Gear XX Accent Core Plus	English	NTSC-U	N/A	RVL-R3NE-USA
RVL-R3NP-UKV	Guilty Gear XX Accent Core Plus	English	PAL	N/A	RVL-R3NP-UKV
RVL-R3OE-USA	Metroid: Other M	English / French / Spanish	NTSC-U	N/A	RVL-R3OE-USA
RVL-R3OJ-JPN	Metroid: Other M	English / Japanese	NTSC-J	N/A	RVL-R3OJ-JPN
RVL-R3OP-EUR	Metroid: Other M	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3OP-EUR
RVL-R3PE-USA	Speed Racer: The Videogame	English / French / Portuguese / Spanish	NTSC-U	N/A	RVL-R3PE-USA
RVL-R3PJ-JPN	Speed Racer	Japanese	NTSC-J	N/A	RVL-R3PJ-JPN
RVL-R3PP-EUR	Speed Racer: The Videogame	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R3PP-EUR
RVL-R3RE-USA	Sonic & Sega All-Stars Racing	English / French / Spanish	NTSC-U	N/A	RVL-R3RE-USA
RVL-R3RP-EUR	Sonic & Sega All-Stars Racing	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3RP-EUR
RVL-R3SE-USA	Spider-Man: Web of Shadows	English / French	NTSC-U	N/A	RVL-R3SE-USA
RVL-R3SP-EUR	Spider-Man: Web of Shadows	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3SP-EUR
RVL-R3TE-USA	Top Spin 3	English / French / Spanish	NTSC-U	N/A	RVL-R3TE-USA
RVL-R3TJ-JPN	Top Spin 3	Japanese	NTSC-J	N/A	RVL-R3TJ-JPN
RVL-R3TP-EUR	Top Spin 3	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3TP-EUR
RVL-R3UJ-JPN	Oyako de Asobo: Miffy no Omochabako	Japanese	NTSC-J	N/A	RVL-R3UJ-JPN
RVL-R3VE-USA	Deer Drive	English	NTSC-U	N/A	RVL-R3VE-USA
RVL-R3VP-EUR	Deer Drive	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3VP-EUR
RVL-R3XE-USA	Sam & Max: Season One	English / French / Spanish	NTSC-U	N/A	RVL-R3XE-USA
RVL-R3XP-EUR	Sam & Max: Season One	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3XP-EUR
RVL-R3YE-USA	Sam & Max: Beyond Time and Space	English / French / Spanish	NTSC-U	N/A	RVL-R3YE-USA
RVL-R3YP-EUR	Sam & Max: Beyond Time and Space	English / French / German / Italian / Spanish	PAL	N/A	RVL-R3YP-EUR
RVL-R3ZE-USA	Rock Band Track Pack: Classic Rock	English	NTSC-U	N/A	RVL-R3ZE-USA
RVL-R42E-USA	The Sims 2: Castaway	English	NTSC-U	N/A	RVL-R42E-USA
RVL-R42P-EUR	The Sims 2: Castaway	Dutch / English / French / German / Italian / Portuguese / Spanish	PAL	N/A	RVL-R42P-EUR
RVL-R42P-NOE	The Sims 2: Castaway	Dutch / English / French / German / Italian / Portuguese / Spanish	PAL	N/A	RVL-R42P-NOE
RVL-R43E-USA	EA Sports Active: Personal Trainer	English / French	NTSC-U	N/A	RVL-R43E-USA
RVL-R43J-JPN	EA Sports Active: Personal Trainer Wii: 30-nichi Seikatsu Kaizen Program	N/A	NTSC-J	N/A	RVL-R43J-JPN
RVL-R43P-EUR	EA Sports Active: Personal Trainer	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R43P-EUR
RVL-R44J-JPN	Suzumiya Haruhi no Heiretsu	Japanese	NTSC-J	N/A	RVL-R44J-JPN
RVL-R46E-USA	Phantom Brave: We Meet Again	English	NTSC-U	N/A	RVL-R46E-USA
RVL-R46J-JPN	Phantom Brave Wii	N/A	NTSC-J	N/A	RVL-R46J-JPN
RVL-R47E-USA	ATV Quad Kings	English / French / Spanish	NTSC-U	N/A	RVL-R47E-USA
RVL-R47P-EUR	ATV Quad Kings	English / French / German / Italian / Spanish	PAL	N/A	RVL-R47P-EUR
RVL-R48E-USA	The Spiderwick Chronicles	English	NTSC-U	N/A	RVL-R48E-USA
RVL-R48P-EUR	The Spiderwick Chronicles	English / French / German / Italian / Spanish	PAL	N/A	RVL-R48P-EUR
RVL-R49E-USA	Donkey Kong Jungle Beat	English / French / Spanish	NTSC-U	N/A	RVL-R49E-USA
RVL-R49J-JPN	Donkey Kong Jungle Beat	Japanese	NTSC-J	N/A	RVL-R49J-JPN
RVL-R49P-EUR	Donkey Kong Jungle Beat	English / French / German / Italian / Spanish	PAL	N/A	RVL-R49P-EUR
RVL-R4AE-USA	SimAnimals	English / French / Spanish	NTSC-U	N/A	RVL-R4AE-USA
RVL-R4AJ-JPN	SimAnimals	Japanese	NTSC-J	N/A	RVL-R4AJ-JPN
RVL-R4AP-EUR	SimAnimals	Danish / Dutch / English / Finnish / French / German / Italian / Norwegian / Portuguese / Spanish / Swedish	PAL	N/A	RVL-R4AP-EUR
RVL-R4BE-USA	Championship Foosball	English / French / Spanish	NTSC-U	N/A	RVL-R4BE-USA
RVL-R4BP-EUR	Table Football	English / French / German / Italian / Spanish	PAL	N/A	RVL-R4BP-EUR
RVL-R4CE-USA	SimCity Creator	English / French / Spanish	NTSC-U	N/A	RVL-R4CE-USA
RVL-R4CJ-JPN	SimCity Creator	Japanese	NTSC-J	N/A	RVL-R4CJ-JPN
RVL-R4CK-KOR	SimCity Namanui Dosi	Korean	NTSC-J	N/A	RVL-R4CK-KOR
RVL-R4CP-AUS	SimCity Creator	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R4CP-AUS
RVL-R4CP-EUR	SimCity Creator	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R4CP-EUR
RVL-R4DD-NOE	Die Drei Fragezeichen: Das Verfluchte Schloss	German	PAL	N/A	RVL-R4DD-NOE
RVL-R4EE-USA	Endless Ocean: Blue World	English	NTSC-U	N/A	RVL-R4EE-USA
RVL-R4EJ-JPN	Forever Blue: Umi no Yobigoe	Japanese	NTSC-J	N/A	RVL-R4EJ-JPN
RVL-R4EP-EUR	Endless Ocean 2: Adventures of the Deep	English / French / German / Italian / Spanish	PAL	N/A	RVL-R4EP-EUR
RVL-R4FE-USA	Story Hour: Fairy Tales	English / French / Spanish	NTSC-U	N/A	RVL-R4FE-USA
RVL-R4FP-EUR	Story Hour: Fairy Tales	English / French / German / Italian / Spanish	PAL	N/A	RVL-R4FP-EUR
RVL-R4IP-EUR	Mad Tracks	Danish / Dutch / English / French / German / Italian / Norwegian / Portuguese / Spanish / Swedish	PAL	N/A	RVL-R4IP-EUR
RVL-R4LX-EUR	Athletic Piggy Party	Dutch / English / French / German / Italian / Spanish	PAL	N/A	RVL-R4LX-EUR
RVL-R4MJ-JPN	Shikakui Atama o Maruku Suru. Wii	Japanese	NTSC-J	N/A	RVL-R4MJ-JPN
RVL-R4NE-USA	Major Minor's Majestic March	English	NTSC-U	N/A	RVL-R4NE-USA
RVL-R4NX-EUR	Major Minor's Majestic March	English / French / German	PAL	N/A	RVL-R4NX-EUR
RVL-R4PE-USA	The Sims 2: Pets	English	NTSC-U	N/A	RVL-R4PE-USA
RVL-R4PP-EUR	The Sims 2: Pets	English / French / German / Italian / Spanish	PAL	N/A	RVL-R4PP-EUR
RVL-R4QE-USA	Mario Strikers Charged	English / French / Spanish	NTSC-U	N/A	RVL-R4QE-USA
RVL-R4QJ-JPN	Mario Strikers Charged	Japanese	NTSC-J	N/A	RVL-R4QJ-JPN
RVL-R4QK-KOR	Mario Power Soccer	Korean	NTSC-J	N/A	RVL-R4QK-KOR
RVL-R4QP-EUR	Mario Strikers Charged Football	English / French / German / Italian / Spanish	PAL	N/A	RVL-R4QP-EUR
RVL-R4RE-USA	FIFA 10	English / Spanish	NTSC-U	N/A	RVL-R4RE-USA
RVL-R4RJ-JPN	FIFA 10: World Class Soccer	Japanese	NTSC-J	N/A	RVL-R4RJ-JPN
RVL-R4RK-KOR	FIFA 10	Korean	NTSC-J	N/A	RVL-R4RK-KOR
RVL-R4RP-EUR	FIFA 10	Dutch / English	PAL	N/A	RVL-R4RP-EUR
RVL-R4RR-RUS	FIFA 10	Russian	PAL	N/A	RVL-R4RR-RUS
RVL-R4RX-EUU	FIFA 10	French / German	PAL	N/A	RVL-R4RX-EUU
RVL-R4RY-EUT	FIFA 10	Italian / Spanish	PAL	N/A	RVL-R4RY-EUT
