id,release_date,title,publisher,bit_memory,price
140,1991-09-20,レンタヒーロー,セガ, ,8700
141,1991-09-27,戦場の狼II,セガ, ,7000
142,1991-09-27,マスターオブウェポン,タイトー, ,6800
143,1991-09-30,宇宙戦艦ゴモラ,UPL, ,7500
144,1991-10-10,デビルクラッシュMD,テクノソフト, ,6800
145,1991-10-11,ソード・オブ・ソダン,セガ, ,6000
146,1991-10-18,スパイダーマン,セガ, ,6000
147,1991-10-25,ワンダーボーイV モンスターワールドIII,セガ, ,7000
148,1991-10-25,魔王連獅子,タイトー, ,6800
149,1991-10-31,将棋の星,ホームデータ, ,6700
150,1991-11-01,ブロックアウト,セガ, ,6000
151,1991-11-01,イースIII -ワンダラーズフロムイース-,日本テレネット, ,8700
152,1991-11-02,ドラゴンズアイ プラス 上海III,ホームデータ, ,5800
153,1991-11-15,ルナーク,タイトー, ,6800
154,1991-11-19,ローリングサンダー2,ナムコ, ,7000
155,1991-11-22,ファンタジア ミッキーマウス・マジック,セガ, ,4800
156,1991-11-29,乱世の覇者,アスミック, ,9800
157,1991-11-29,ビースト・ウォリアーズ,日本テレネット, ,8400
158,1991-12-06,忍者武雷伝説,セガ, ,8700
159,1991-12-06,ファイティングマスターズ,トレコ, ,6800
160,1991-12-06,エグザイル 時の狭間へ,日本テレネット, ,8900
161,1991-12-12,ソル・フィース,ウルフチーム, ,6800
162,1991-12-12,ヘビーノバ,マイクロネット, ,6800
163,1991-12-13,太平記,セガ, ,8700
164,1991-12-14,ノスタルジア1907,シュールド・ウェーブ, ,7200
165,1991-12-20,アンデッドライン,PALSOFT, ,8800
166,1991-12-20,ダブルドラゴンII,PALSOFT, ,8800
167,1991-12-20,ダーナ 女神誕生,アイ・ジー・エス, ,8900
168,1991-12-20,アーネスト・エバンス,ウルフチーム, ,7300
169,1991-12-20,アイラブドナルドダック グルジア王の秘宝,セガ, ,4800
170,1991-12-20,惑星ウッドストック ファンキーホラーバンド,セガ, ,6800
171,1991-12-20,タスクフォースハリアーEX,トレコ, ,8500
172,1991-12-20,F1サーカスMD,日本物産, ,7500
173,1991-12-20,中島悟監修F-1 GRAND PRIX,バリエ, ,7800
174,1991-12-20,信長の野望・武将風雲録,光栄, ,11800
175,1991-12-26,三國志II,光栄, ,14800
176,1991-12-27,ゴールデンアックスII,セガ, ,6000
177,1991-12-27,夢幻戦士ヴァリス,日本テレネット, ,8400
178,1991-12-28,天下布武 英雄たちの咆哮,ゲームアーツ, ,7800
179,1992-01-14,スーパーファンタジーゾーン,サンソフト, ,6800
180,1992-01-14,ちびまる子ちゃん わくわくショッピング,ナムコ, ,6000
181,1992-01-24,ジョー・モンタナII スポーツフットボール,セガ, ,6800
182,1992-01-31,ワニワニWorld,KANEKO, ,6600
183,1992-01-31,テクモワールドカップ'92,シムス, ,6200
184,1992-01-31,JuJu伝説,セガ, ,6000
185,1992-02-07,ソーサルキングダム,メサイヤ, ,8800
186,1992-02-14,SDヴァリス,日本テレネット, ,6800
187,1992-02-14,港のトレイジア,日本テレネット, ,8900
188,1992-02-18,精霊神世紀フェイエリア,ウルフチーム, ,7400
189,1992-02-28,クルードバスター,データイースト, ,7800
190,1992-02-28,ロードブラスターズ,テンゲン, ,6800
191,1992-03-06,バトルマニア,ビック東海, ,6800
192,1992-03-13,トージャム&アール,セガ, ,6800
193,1992-03-13,鋼鉄帝国,ホット・ビィ, ,7800
194,1992-03-20,シャイニング・フォース 神々の遺産,セガ, ,8700
195,1992-03-27,Art ALIVE,セガ, ,3800
196,1992-03-27,ターボアウトラン,セガ, ,6000
197,1992-03-27,ピットファイター,テンゲン, ,7800
198,1992-03-27,シャドー・オブ・ザ・ビースト 魔性の掟,ビクター音楽産業, ,8800
199,1992-03-27,サンダープロレスリング列伝,ヒューマン, ,7400
200,1992-03-27,ストームロード,マイクロワールド, ,6800
201,1992-03-27,コズミックファンタジーStories,日本テレネット, ,7800
202,1992-04-10,A列車で行こうMD,セガ, ,6800
203,1992-04-17,デス・ブリンガー 秘められた紋章,日本テレネット, ,7400
204,1992-04-24,アリシア ドラグーン,ゲームアーツ, ,7800
205,1992-04-24,まじかる☆タルるートくん,セガ, ,3880
206,1992-04-24,バッドオーメン,ホット・ビィ, ,6800
207,1992-04-24,大航海時代,光栄, ,11800
208,1992-04-30,スライムワールド,マイクロワールド, ,6800
209,1992-05-15,中島悟監修F1 HERO MD,バリエ, ,7800
210,1992-05-28,シーザーの野望II,マイクロネット, ,8800
211,1992-05-29,アイルロード,ウルフチーム, ,7800
212,1992-05-29,カメレオンキッド,セガ, ,6800
213,1992-05-29,クイズスクランブルスペシャル,セガ, ,6800
214,1992-06-12,グランドスラム,日本テレネット, ,6800
215,1992-06-19,スピードボール2,CRI, ,6800
216,1992-06-19,TOP PRO GOLF,ソフトビジョン, ,8500
217,1992-06-19,魔法の少女シルキーリップ,日本テレネット, ,7400
218,1992-06-25,ロイヤルブラッド,光栄, ,9800
219,1992-06-26,LUNAR ザ・シルバースター ,ゲームアーツ, ,7800
220,1992-06-26,闘技王キングコロッサス,セガ, ,5800
221,1992-06-26,ペーパーボーイ,テンゲン, ,6800
222,1992-07-10,デビッド・ロビンソン バスケットボール,セガ, ,4800
223,1992-07-10,炎の闘球児 ドッジ弾平,セガ, ,3800
224,1992-07-17,アイルトン・セナ スーパーモナコGPII,セガ, ,7800
225,1992-07-17,グレイランサー,メサイヤ, ,8300
226,1992-07-24,ダイナブラザーズ,CRI, ,8800
227,1992-07-24,オリンピックゴールド,セガ, ,4800
228,1992-07-24,サンダーフォースIV,テクノソフト, ,8800
229,1992-07-24,ツインクルテール,WAS, ,7800
230,1992-07-31,デトネイター・オーガン,ホット・ビィ, ,7800
231,1992-08-04,スプラッターハウス PARTII,ナムコ, ,5800
232,1992-08-07,熱血高校ドッジボール部サッカー編MD,PALSOFT, ,8800
233,1992-08-07,ひょっこりひょうたん島 大統領をめざせ!,セガ, ,4800
234,1992-08-07,修羅の門,セガ, ,6000
