発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
1999-07-15,フロム・ソフトウェア,フレームグライド,2,,その他,フロム・ソフトウェア,0,1,Dreamcast
1999-07-15,リバーヒルソフト,ワールド・ネバーランドプラス 〜オルルド王国物語〜,2,,その他,リバーヒルソフト,0,1,Dreamcast
1999-07-22,TBS,世界・ふしぎ発見!トロイア,2,,その他,TBS,0,1,Dreamcast
1999-07-22,アルトロン,真本格花札,2,,その他,アルトロン,0,1,Dreamcast
1999-07-22,ハドソン,電波少年的懸賞生活 〜なすびの部屋〜,2,,その他,ハドソン,0,1,Dreamcast
1999-07-29,セガ,アキハバラ電脳組パタPies!,2,,その他,セガ,0,1,Dreamcast
1999-07-29,コナミ,エアフォースデルタDeadly SkiesPAL,2,,その他,コナミ,0,1,Dreamcast
1999-07-29,ビバリウム,シーマン 〜禁断のペット〜Seaman,2,,その他,ビバリウム,0,1,Dreamcast
1999-07-29,マイクロネット,マリオネットハンドラー,2,,その他,マイクロネット,0,1,Dreamcast
1999-08-05,ナムコ,ソウルキャリバー,2,,その他,ナムコ,0,1,Dreamcast
1999-08-05,セガ,プロ野球チームをつくろう!,2,,その他,セガ,0,1,Dreamcast
1999-08-05,ハドソン,北へ。〜Photo Memories〜,2,,その他,ハドソン,0,1,Dreamcast
1999-08-26,ウエップシステム,COOL BOARDERS BURRRN!,2,,その他,ウエップシステム,0,1,Dreamcast
1999-08-26,バンダイ,機動戦士ガンダム外伝 コロニーの落ちた地で…Gundam Side Story 0079: Rise from the Ashes,2,,その他,バンダイ,0,1,Dreamcast
1999-08-26,角川書店/ESP,機動戦艦ナデシコ NADESICO THE MISSION,2,,その他,角川書店/ESP,0,1,Dreamcast
1999-09-02,コナミ,dancing blade かってに桃天使! 完全版,2,,その他,コナミ,0,1,Dreamcast
1999-09-02,トミー,新日本プロレスリング闘魂列伝4,2,,その他,トミー,0,1,Dreamcast
1999-09-14,コナミ,ポップンミュージック2,2,,その他,コナミ,0,1,Dreamcast
1999-09-15,セガ,クライマックスランダーズTime Stalkers,2,,その他,セガ,0,1,Dreamcast
1999-09-23,セガ,あつまれ!ぐるぐる温泉,2,,その他,セガ,0,1,Dreamcast
1999-09-23,シムス,まぼろし月夜,2,,その他,シムス,0,1,Dreamcast
1999-09-23,ジャレコ,アイドル雀士をつくっちゃおう,2,,その他,ジャレコ,0,1,Dreamcast
1999-09-23,NECホームエレクトロニクスUFO Interactive Games,エスピオネージェンツIndustrial Spy: Operation Espionage,2,,その他,NECホームエレクトロニクスUFO Interactive Games,0,1,Dreamcast
1999-09-30,NECインターチャネル,BLACK MATRIX/AD,2,,その他,NECインターチャネル,0,1,Dreamcast
1999-09-30,セガ,Jリーグプロサッカークラブをつくろう!,2,,その他,セガ,0,1,Dreamcast
1999-09-30,コナミ,dancing blade かってに桃天使II 〜Tears of Eden〜 完全版,2,,その他,コナミ,0,1,Dreamcast
1999-09-30,セガ,グラウエンの鳥籠 Kapitel1 「契約」,2,,その他,セガ,0,1,Dreamcast
1999-10-07,TAKUYO,ぷらすぷらむ,2,,その他,TAKUYO,0,1,Dreamcast
1999-10-07,マイクロキャビン,マリオネットカンパニー,2,,その他,マイクロキャビン,0,1,Dreamcast
1999-10-14,セガ,ソニックアドベンチャー・インターナショナル,2,,その他,セガ,0,1,Dreamcast
1999-10-21,シャングリ・ラ,夢馬券1999インターネット,2,,その他,シャングリ・ラ,0,1,Dreamcast
1999-10-28,データイースト,REVIVE... 〜蘇生〜,2,,その他,データイースト,0,1,Dreamcast
1999-11-03,メサイヤ,ラングリッサーミレニアム,2,,その他,メサイヤ,0,1,Dreamcast
1999-11-03,パンサーソフトウェア,蒼鋼の騎兵 -SPACE GRIFFON-,2,,その他,パンサーソフトウェア,0,1,Dreamcast
1999-11-11,ハドソン,SUPER PRODUCERS -目指せショウビズ界-,2,,その他,ハドソン,0,1,Dreamcast
1999-11-11,カプコン,ギガウイング,2,,その他,カプコン,0,1,Dreamcast
1999-11-11,セガ,チューチューロケット!,2,,その他,セガ,0,1,Dreamcast
1999-11-11,アークシステムワークス,田中寅彦のウル寅流将棋居飛車穴熊編,2,,その他,アークシステムワークス,0,1,Dreamcast
1999-11-18,ユービーアイソフト,スピード・デビル,2,,その他,ユービーアイソフト,0,1,Dreamcast
1999-11-18,ナグザット（加賀テック）,日本プロ麻雀連盟公認 徹萬 免許皆伝,2,,その他,ナグザット（加賀テック）,0,1,Dreamcast
1999-11-18,ネットビレッジ,棋太平GOLD,2,,その他,ネットビレッジ,0,1,Dreamcast
1999-11-25,ビデオシステム,F1 WORLD GRAND PRIX for Dreamcast,2,,その他,ビデオシステム,0,1,Dreamcast
1999-11-25,セガ,グラウエンの鳥籠 Kapitel2 「鳥籠」,2,,その他,セガ,0,1,Dreamcast
1999-11-25,カプコン,ジョジョの奇妙な冒険 未来への遺産JoJo's Bizarre Adventure,2,,その他,カプコン,0,1,Dreamcast
1999-11-25,セガ,ゾンビリベンジ,2,,その他,セガ,0,1,Dreamcast
1999-11-25,エコールソフトウェア,デスクリムゾン2 -メラニートの祭壇-,2,,その他,エコールソフトウェア,0,1,Dreamcast
1999-11-25,ダイコク電機,ネッパチ 〜10連チャンでラスベガス旅行〜,2,,その他,ダイコク電機,0,1,Dreamcast
1999-11-25,セガ,ハローキティのラブリー・フルーツパーク,2,,その他,セガ,0,1,Dreamcast
1999-11-25,マーベラスエンターテイメント,電幻天使対戦麻雀シャングリラ,2,,その他,マーベラスエンターテイメント,0,1,Dreamcast
1999-11-25,アトラス,魔剣X,2,,その他,アトラス,0,1,Dreamcast
1999-12-02,サンライズインタラクティブ,サンライズ英雄譚,2,,その他,サンライズインタラクティブ,0,1,Dreamcast
1999-12-02,セガ,バーチャストライカー2 Ver.2000.1Virtua Striker 2,2,,その他,セガ,0,1,Dreamcast
1999-12-02,リバーヒルソフト,バーミリオン・デザート,2,,その他,リバーヒルソフト,0,1,Dreamcast
1999-12-09,ワカ製作所,お・と・い・れ ドリームキャストシーケンサー,2,,その他,ワカ製作所,0,1,Dreamcast
1999-12-09,ボトムアップAcclaim Entertainment,ゴルフしようよw:Tee Off,2,,その他,ボトムアップAcclaim Entertainment,0,1,Dreamcast
1999-12-09,びんぼうソフト/ボトムアップ,ジェットコースタードリームCoaster Works,2,,その他,びんぼうソフト/ボトムアップ,0,1,Dreamcast
1999-12-09,カプコン,スターグラディエイター2 ナイトメアオブビルシュタインPlasma Sword: Nightmare of Bilstein,2,,その他,カプコン,0,1,Dreamcast
1999-12-09,セガ,ドリームフライヤー,2,,その他,セガ,0,1,Dreamcast
1999-12-09,トレジャー/ESP,爆裂無敵 バンガイオーBangai-O,2,,その他,トレジャー/ESP,0,1,Dreamcast
1999-12-09,セガ,電脳戦機バーチャロン オラトリオ・タングラムCyber Troopers Virtual-On Oratorio Tangram,2,,その他,セガ,0,1,Dreamcast
1999-12-16,コンパイル,ぷよぷよDA! -featuring ELLENA System-,2,,その他,コンパイル,0,1,Dreamcast
