発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2024-07-17,ゲームロフト,アスファルト:Legends Unite,-,,ETC,ゲームロフト,0,1,その他,その他
2024-07-17,アニプレックス,鬼滅の刃 目指せ！最強隊士！,-,,ETC,アニプレックス,0,1,その他,その他
2024-07-18,Kepler Interactive,Flintlock: The Siege of Dawn（英語版）,32,,SPT,Kepler Interactive,6820_0m_4923,1,野球,その他
2024-07-18,マーベラス,ボウと月夜の碧い花,-,YES,ETC,マーベラス,0,1,その他,その他
2024-07-18,スパイク・チュンソフト,超探偵事件簿 レインコード プラス,-,YES,ETC,スパイク・チュンソフト,0,1,その他,その他
2024-07-25,フリュー,REYNATIS/レナティス,-,YES,ETC,フリュー,0,1,その他,その他
2024-08-06,コナミデジタルエンタテインメント,CYGNI: All Guns Blazing,-,,ETC,コナミデジタルエンタテインメント,0,1,その他,その他
2024-08-08,Bliss Brain,プリンセスメーカー2 リジェネレーション,-,YES,ETC,Bliss Brain,0,1,その他,その他
2024-08-08,バンダイナムコエンターテインメント,転生したらスライムだった件 テンペストストーリーズ,-,YES,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2024-08-17,RainyGames,SunnySide,-,,ETC,RainyGames,0,1,その他,その他
2024-08-20,Game Science,黒神話:悟空,-,YES,ETC,Game Science,0,1,その他,その他
2024-08-22,セガ,Enotria: The Last Song,-,YES,ETC,セガ,0,1,その他,その他
2024-08-24,ソニー・インタラクティブエンタテインメント,CONCORD,-,,ETC,ソニー・インタラクティブエンタテインメント,0,1,その他,その他
2024-08-29,バンダイナムコエンターテインメント,ガンダムブレイカー4,-,YES,ETC,バンダイナムコエンターテインメント,0,1,その他,その他
2024-08-29,スクウェア・エニックス,聖剣伝説 VISIONS of MANA,-,YES,ETC,スクウェア・エニックス,6893_0m_4998,1,その他,その他
2024-08-30,ユービーアイソフト,スター・ウォーズ 無法者たち（英語版）,-,,ETC,ユービーアイソフト,0,1,その他,その他
2024-09-05,セガ,Cronos: The New Dawn,-,YES,ETC,セガ,0,1,その他,その他
2024-09-06,ソニー・インタラクティブエンタテインメント,アストロボット,36,YES,ACT,ソニー・インタラクティブエンタテインメント,6854_0m_4958,1,3Dアクション,その他
2024-09-13,SOFTSOURCE,Funko Fusion,-,,ETC,SOFTSOURCE,0,1,その他,その他
2024-09-26,不明,Astrea: Six-Sided Oracles,-,,ETC,不明,0,1,その他,その他
2024-09-27,エレクトロニック・アーツ,EA Sports FC 25,-,YES,ETC,エレクトロニック・アーツ,0,1,その他,その他
2024-10-08,コナミデジタルエンタテインメント,サイレントヒル2,-,YES,ETC,コナミデジタルエンタテインメント,0,1,その他,その他
