発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2021-12-03,ケムコ,聖戦クロニクル,2,,その他,ケムコ,0,1,Xbox Series X/S
2021-12-04,Chubby Pixel,Sleepin' Guy Deluxe Edition,2,,その他,Chubby Pixel,0,1,Xbox Series X/S
2021-12-07,THQ Nordic,SpellForce III Reforced（スペルフォース III リフォースト）,2,,その他,THQ Nordic,0,1,Xbox Series X/S
2021-12-08,日本マイクロソフト(Xbox Game Studios),Halo Infinite,2,YES,その他,日本マイクロソフト(Xbox Game Studios),0,1,Xbox Series X/S
2021-12-09,Raiser Games,Youtubers Life 2 -ユーチューバーになろう-,2,,その他,Raiser Games,0,1,Xbox Series X/S
2021-12-10,EpiXR Games,Antarctica 88,2,,その他,EpiXR Games,0,1,Xbox Series X/S
2021-12-14,Atari,Asteroids: Recharged,2,,その他,Atari,0,1,Xbox Series X/S
2021-12-15,Innersloth,Among Us,2,,その他,Innersloth,0,1,Xbox Series X/S
2021-12-16,株式会社シティコネクション,デススマイルズ I・II,2,,その他,株式会社シティコネクション,0,1,Xbox Series X/S
2021-12-17,RedDeerGames,レーザー線：ナノウォーズ,2,,その他,RedDeerGames,0,1,Xbox Series X/S
2021-12-21,Assemble Entertainment,Lacuna - A Sci-Fi Noir Adventure,2,,その他,Assemble Entertainment,0,1,Xbox Series X/S
2021-12-22,Eastasiasoft Limited,Horatio Goes Snowboarding,2,,その他,Eastasiasoft Limited,0,1,Xbox Series X/S
2021-12-23,コーエーテクモゲームス,真・三国無双8 Empires,2,,その他,コーエーテクモゲームス,0,1,Xbox Series X/S
2022-01-07,ケムコ,エルピシアの魔剣少女,2,,その他,ケムコ,0,1,Xbox Series X/S
2022-01-13,Zillion Whales,Mushroom Wars 2,2,,その他,Zillion Whales,0,1,Xbox Series X/S
2022-01-18,スパイク・チュンソフト,ダンガンロンパ 希望の学園と絶望の高校生 Anniversary Edition,2,,その他,スパイク・チュンソフト,0,1,Xbox Series X/S
2022-01-19,10tons Ltd.,DYSMANTLE,2,,その他,10tons Ltd.,0,1,Xbox Series X/S
2022-01-20,ユービーアイソフト,レインボーシックス エクストラクション,2,,その他,ユービーアイソフト,0,1,Xbox Series X/S
2022-01-22,2Awesome Partners,Jack 'n' Hat,2,,その他,2Awesome Partners,0,1,Xbox Series X/S
2022-01-26,Rocket Vulture,Cannibal Cuisine（カンニバルクッキング）,2,,その他,Rocket Vulture,0,1,Xbox Series X/S
2022-01-27,インティ・クリエイツ,白き鋼鉄のX(イクス)2,2,,その他,インティ・クリエイツ,0,1,Xbox Series X/S
2022-01-28,ラタライカゲームス,Super Onion Boy 2,2,,その他,ラタライカゲームス,0,1,Xbox Series X/S
2022-02-02,Sbug Games,Webbed,2,,その他,Sbug Games,0,1,Xbox Series X/S
2022-02-03,PLAYISM,くちなしアンプル,2,,その他,PLAYISM,0,1,Xbox Series X/S
2022-02-04,Techland,Dying Light 2: Stay Human（ダイイングライト2 ステイ ヒューマン）,2,,その他,Techland,0,1,Xbox Series X/S
2022-02-08,Private Division,オリオリワールド,2,,その他,Private Division,0,1,Xbox Series X/S
2022-02-10,Koch Media GmbH.,CHORUS（コーラス）,2,,その他,Koch Media GmbH.,0,1,Xbox Series X/S
2022-02-11,Milkstone Studios,Ziggurat 2,2,,その他,Milkstone Studios,0,1,Xbox Series X/S
2022-02-14,The Arcade Crew,Infernax,2,,その他,The Arcade Crew,0,1,Xbox Series X/S
2022-02-16,Eastasiasoft Limited,Beat Souls,2,,その他,Eastasiasoft Limited,0,1,Xbox Series X/S
2022-02-17,株式会社SNK,THE KING OF FIGHTERS XV,2,,その他,株式会社SNK,0,1,Xbox Series X/S
2022-02-18,RedDeerGames,ジェムウィザーズ戦術,2,,その他,RedDeerGames,0,1,Xbox Series X/S
2022-02-22,SOEDESCO,Monster Crown,2,,その他,SOEDESCO,0,1,Xbox Series X/S
2022-02-23,ChiliDog Interactive,Dr. Oil,2,,その他,ChiliDog Interactive,0,1,Xbox Series X/S
2022-02-24,Wired Productions,Martha Is Dead,2,,その他,Wired Productions,0,1,Xbox Series X/S
2022-02-25,バンダイナムコエンターテインメント,ELDEN RING（エルデンリング）,2,,その他,バンダイナムコエンターテインメント,0,1,Xbox Series X/S
2022-03-01,Funcom,Conan Chop Chop,2,,その他,Funcom,0,1,Xbox Series X/S
2022-03-02,Sometimes You,35MM,2,,その他,Sometimes You,0,1,Xbox Series X/S
2022-03-03,Frogwares,シャーロック・ホームズ -悪魔の娘-,2,,その他,Frogwares,0,1,Xbox Series X/S
2022-03-04,Sometimes You,Music Racer: Ultimate,2,,その他,Sometimes You,0,1,Xbox Series X/S
2022-03-08,THQ Nordic,SpellForce III Reforced（スペルフォース III リフォースト）,2,,その他,THQ Nordic,0,1,Xbox Series X/S
2022-03-09,Eastasiasoft Limited,Splash Cars（スプラッシュ・カーズ）,2,,その他,Eastasiasoft Limited,0,1,Xbox Series X/S
2022-03-10,アニプレックス,ＲＰＧタイム！～ライトの伝説～,2,,その他,アニプレックス,0,1,Xbox Series X/S
2022-03-11,META Publishing,Time Loader,2,,その他,META Publishing,0,1,Xbox Series X/S
2022-03-15,ロケットパンダゲームズ,Phantom Breaker: Omnia（ファントムブレイカー：オムニア）,2,,その他,ロケットパンダゲームズ,0,1,Xbox Series X/S
2022-03-16,Hidden Trap,The Wanderer: Frankenstein's Creature,2,,その他,Hidden Trap,0,1,Xbox Series X/S
2022-03-17,FoamPunch,Shredders,2,,その他,FoamPunch,0,1,Xbox Series X/S
2022-03-18,スクウェア・エニックス,STRANGER OF PARADISE FINAL FANTASY ORIGIN（ストレンジャー オブ パラダイス ファイナルファンタジー オリジン）,2,,その他,スクウェア・エニックス,0,1,Xbox Series X/S
2022-03-22,Fellow Traveller,Kraken Academy!!（クラーケン・アカデミー！！）,2,,その他,Fellow Traveller,0,1,Xbox Series X/S
2022-03-23,MY.GAMES,Blast Brigade vs. the Evil Legion of Dr. Cread,2,,その他,MY.GAMES,0,1,Xbox Series X/S
2022-03-24,Fireshine Games,Imp of the Sun,2,,その他,Fireshine Games,0,1,Xbox Series X/S
2022-03-25,2K,ワンダーランズ ～タイニー・ティナと魔法の世界,2,,その他,2K,0,1,Xbox Series X/S
2022-03-29,"PM Studios, Inc.",Ikai,2,,その他,"PM Studios, Inc.",0,1,Xbox Series X/S
2022-03-30,PikPok,エージェント・インターセプター,2,,その他,PikPok,0,1,Xbox Series X/S
2022-03-31,Devolver Digital,Weird West,2,,その他,Devolver Digital,0,1,Xbox Series X/S
2022-04-05,Warner Bros. Games,レゴ スター・ウォーズ／スカイウォーカー・サーガ,2,,その他,Warner Bros. Games,0,1,Xbox Series X/S
2022-04-06,Eastasiasoft Limited,Z-Warp,2,,その他,Eastasiasoft Limited,0,1,Xbox Series X/S
2022-04-07,スクウェア・エニックス,クロノ・クロス：ラジカル・ドリーマーズ エディション,2,,その他,スクウェア・エニックス,0,1,Xbox Series X/S
2022-04-08,Gearbox Publishing,Godfall：Ultimateエディション,2,,その他,Gearbox Publishing,0,1,Xbox Series X/S
2022-04-12,Xitilon,Happi Basudei（ハッピーバースデイ）,2,,その他,Xitilon,0,1,Xbox Series X/S
2022-04-13,MY.GAMES,Blast Brigade vs. the Evil Legion of Dr. Cread,2,,その他,MY.GAMES,0,1,Xbox Series X/S
2022-04-19,Graffiti Games,Turnip Boy Commits Tax Evasion,2,,その他,Graffiti Games,0,1,Xbox Series X/S
2022-04-20,EXNOA LLC,LIBERATED（リベレイデット）,2,,その他,EXNOA LLC,0,1,Xbox Series X/S
2022-04-21,Phoenixx Inc.,クローンドローン -デンジャーゾーン-,2,,その他,Phoenixx Inc.,0,1,Xbox Series X/S
2022-04-22,Just For Games,武蔵厳流記2,2,,その他,Just For Games,0,1,Xbox Series X/S
2022-04-26,スパイクチュンソフト,リサーチアンドデストロイ,2,,その他,スパイクチュンソフト,0,1,Xbox Series X/S
2022-04-28,Nacon,Rugby 22,2,,その他,Nacon,0,1,Xbox Series X/S
2022-04-29,Orube Game Studio,Super Mombo Quest,2,,その他,Orube Game Studio,0,1,Xbox Series X/S
2022-04-30,Troglobytes Games,Ravenous Devils,2,,その他,Troglobytes Games,0,1,Xbox Series X/S
2022-05-04,Seaven Studio,PictoQuest,2,,その他,Seaven Studio,0,1,Xbox Series X/S
2022-05-05,Devolver Digital,Trek to Yomi,2,,その他,Devolver Digital,0,1,Xbox Series X/S
2022-05-06,Clockwork Origins,Elemental War 2（エレメンタル・ウォー2）,2,,その他,Clockwork Origins,0,1,Xbox Series X/S
2022-05-10,スパイク・チュンソフト,スーパーダンガンロンパ2 さよなら絶望学園 Anniversary Edition,2,,その他,スパイク・チュンソフト,0,1,Xbox Series X/S
2022-05-11,505 Games,百英雄伝 Rising,2,,その他,505 Games,0,1,Xbox Series X/S
2022-05-12,ケムコ,インフィニットリンクス,2,,その他,ケムコ,0,1,Xbox Series X/S
2022-05-13,Baltoro Games,Paratopic,2,,その他,Baltoro Games,0,1,Xbox Series X/S
2022-05-17,SEGA,ツーポイントキャンパス,2,,その他,SEGA,0,1,Xbox Series X/S
2022-05-19,マーベラス,DEADCRAFT（デッドクラフト）,2,,その他,マーベラス,0,1,Xbox Series X/S
2022-05-20,Prime Matter,Dolmen,2,,その他,Prime Matter,0,1,Xbox Series X/S
2022-05-24,THQ Nordic,MX vs ATV Legends,2,,その他,THQ Nordic,0,1,Xbox Series X/S
2022-05-25,Eastasiasoft Limited,Blow & Fly,2,,その他,Eastasiasoft Limited,0,1,Xbox Series X/S
2022-05-26,Rebellion,Sniper Elite 5,2,,その他,Rebellion,0,1,Xbox Series X/S
2022-05-27,バンダイナムコエンターテインメント,PAC-MAN MUSEUM+,2,,その他,バンダイナムコエンターテインメント,0,1,Xbox Series X/S
2022-05-31,THQ Nordic,Destroy All Humans! - Clone Carnage,2,,その他,THQ Nordic,0,1,Xbox Series X/S
2022-06-01,Fireshine Games,Silt,2,,その他,Fireshine Games,0,1,Xbox Series X/S
2022-06-02,Atari,Gravitar: Recharged,2,,その他,Atari,0,1,Xbox Series X/S
2022-06-03,RedDeerGames,EleMetals: Death Metal Death Match!（エレメンタルズ：デスメタルとデスマッチ！）,2,,その他,RedDeerGames,0,1,Xbox Series X/S
2022-06-06,DANGEN Entertainment,Lost Ruins,2,,その他,DANGEN Entertainment,0,1,Xbox Series X/S
2022-06-07,Devolver Digital,Disc Room,2,,その他,Devolver Digital,0,1,Xbox Series X/S
2022-06-08,"Rogue Games, Inc.",Super Impossible Road,2,,その他,"Rogue Games, Inc.",0,1,Xbox Series X/S
2022-06-10,2K,クアリー ～悪夢のサマーキャンプ,2,,その他,2K,0,1,Xbox Series X/S
2022-06-14,カプコン,バイオハザード 7,2,,その他,カプコン,0,1,Xbox Series X/S
2022-06-16,Dotemu,Teenage Mutant Ninja Turtles: Shredder's Revenge,2,,その他,Dotemu,0,1,Xbox Series X/S
2022-06-17,Numskull Games,Final Vendetta,2,,その他,Numskull Games,0,1,Xbox Series X/S
2022-06-18,Jujubee,Deep Diving Adventures,2,,その他,Jujubee,0,1,Xbox Series X/S
2022-06-21,Epic Games,Fall Guys: Ultimate Knockout（フォールガイズ アルティメット ノックアウト）,2,,その他,Epic Games,0,1,Xbox Series X/S
2022-06-22,"Top Hat Studios, Inc.",REDO!,2,,その他,"Top Hat Studios, Inc.",0,1,Xbox Series X/S
2022-06-23,SEGA,ソニックオリジンズ,2,,その他,SEGA,0,1,Xbox Series X/S
2022-06-24,カプコン,カプコン ファイティング コレクション,2,,その他,カプコン,0,1,Xbox Series X/S
