id,release_date,title,publisher,bit_memory,price
154,1990-07-06,迷宮のエルフィーネ,日本テレネット, ,6780
155,1990-07-06,ラスタンサーガ2,タイトー, ,6600
156,1990-07-13,超絶倫人ベラボーマン,ナムコ, ,6800
157,1990-07-20,デビルクラッシュ,ナグザット, ,6300
158,1990-07-20,桃太郎伝説ターボ,ハドソン, ,5800
159,1990-07-27,イメージファイト,アイレム, ,7000
160,1990-07-27,大魔界村,NECアベニュー, ,10800
161,1990-07-27,ロードランナー 失われた迷宮,パック・イン・ビデオ, ,5800
162,1990-07-27,ワールドビーチバレー,IGS, ,5700
163,1990-08-03,地獄めぐり,タイトー, ,6600
164,1990-08-09,ワルキューレの伝説,ナムコ, ,6800
165,1990-08-10,クラックス,テンゲン, ,5900
166,1990-08-10,将棋 初段一直線,ホームデータ, ,6700
167,1990-08-10,パワーリーグIII,ハドソン, ,5800
168,1990-08-10,麻雀悟空スペシャル,サンソフト, ,6300
169,1990-08-31,オペレーションウルフ,NECアベニュー, ,7200
170,1990-08-31,ラスト・ハルマゲドン,ブレイングレイ, ,7500
171,1990-09-07,暗黒伝説,ビクター音楽産業, ,6200
172,1990-09-07,ヴァリスIII,日本テレネット, ,6780
173,1990-09-07,はにい おんざ ろおど,フェイス, ,6400
174,1990-09-14,F1サーカス,日本物産, ,6900
175,1990-09-14,ジャック・ニクラウス ワールドゴルフツアー,ビクター音楽産業, ,7800
176,1990-09-14,関ヶ原,トンキンハウス, ,6800
177,1990-09-14,みつばち学園,ハドソン, ,5800
178,1990-09-21,ダライアスプラス,NECアベニュー	, ,9800
179,1990-09-21,桃太郎活劇,ハドソン, ,6500
180,1990-09-21,レギオン,日本テレネット, ,6780
181,1990-09-28,アフターバーナーII, NECアベニュー, ,7200
182,1990-09-28,ゴモラスピード,UPL, ,6700
183,1990-09-28,ダイハード,パック・イン・ビデオ, ,6200
184,1990-09-28,ダブルリング,ナグザット, ,6300
185,1990-09-28,ファイナルブラスター,ナムコ, ,6800
186,1990-10-05,ザ・プロ野球,インテック, ,6800
187,1990-10-09,雀偵物語,日本テレネット, ,6780
188,1990-10-12,サイバーナイト,トンキンハウス, ,6800
189,1990-10-12,バットマン,サン電子, ,6500
190,1990-10-19,ラビオレプススペシャル,ビデオシステム, ,6800
191,1990-10-26,ナグザットスタジアム,ナグザット, ,6800
192,1990-10-26,琉球,フェイス, ,5400
193,1990-11-02,エアロブラスターズ,ハドソン, ,6500
194,1990-11-02,デコボコ伝説 走るワガマンマー,日本テレネット, ,6780
195,1990-11-09,カットビ! 宅配くん,トンキンハウス, ,6780
196,1990-11-23,キックボール,メサイヤ, ,6200
197,1990-11-23,J.B.ハロルドシリーズ マーダークラブ,ハドソン, ,6500
198,1990-12-07,アヴェンジャー,日本テレネット, ,6780
199,1990-12-07,サンダーブレード,NECアベニュー, ,7200
200,1990-12-07,バーニングエンジェル,ナグザット, ,6700
201,1990-12-07,ボンバーマン,ハドソン, ,5300
202,1990-12-07,らんま1/2,メサイヤ, ,6800
203,1990-12-11,メルヘンメイズ,ナムコ, ,5500
204,1990-12-14,ZIPANG,パック・イン・ビデオ, ,6200
205,1990-12-14,スピンペア,メディアリング, ,5900
206,1990-12-14,大旋風,NECアベニュー, ,7200
207,1990-12-14,チャンピオンレスラー,タイトー, ,6600
208,1990-12-14,トイショップボーイズ,ビクター音楽産業, ,6200
209,1990-12-14,バイオレントソルジャー,IGS, ,6400
210,1990-12-14,ワラビー!!,メサイヤ, ,6500
211,1990-12-19,不思議の夢のアリス,フェイス, ,6400
212,1990-12-20,バスティール,ヒューマン, ,6500
213,1990-12-21,アウトラン,NECアベニュー, ,7200
214,1990-12-21,クロスワイバー,フェイス, ,6700
215,1990-12-21,天聖龍（セイントドラゴン）,エイコム, ,7200
216,1990-12-21,魔界プリンスどらぼっちゃん,ナグザット, ,6700
217,1990-12-22,桃太郎伝説II,ハドソン, ,7200
218,1991-01-08,オーバーライド,データイースト, ,6500
219,1991-01-18,カダッシュ,タイトー, ,6500
220,1991-01-18,ジャッキー・チェン,ハドソン, ,6500
221,1991-01-25,S.C.I.,タイトー, ,7200
222,1991-01-25,ガルクライト TDF2,パック・イン・ビデオ, ,7800
223,1991-02-15,クイズアベニュー,NECアベニュー, ,5800
224,1991-02-15,パラソルスター,タイトー, ,6600
225,1991-02-15,マスターオブモンスターズ,マイクロキャビン, ,6500
226,1991-02-22,オルディネス,ハドソン, ,9800
227,1991-02-22,DEAD MOON 月世界の悪夢,T.S.S., ,7400
228,1991-02-22,パズルボーイ,日本テレネット, ,6400
229,1991-03-01,ファイナルマッチテニス,ヒューマン, ,5700
230,1991-03-08,ゼロヨンチャンプ,メディアリング, ,6900
231,1991-03-13,レジェンド・オブ・ヒーロー・トンマ,アイレム, ,7000
232,1991-03-15,おぼっちゃまくん,ナムコ, ,6800
233,1991-03-15,CYBER CITY OEDO 808 獣の属性,メサイヤ, ,6500
234,1991-03-15,TITAN,ナグザット, ,5900
235,1991-03-21,プロ野球ワールドスタジアム'91,ナムコ, ,5800
236,1991-03-22,1943改,ナグザット, ,7200
