発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2017-11-09,QuantumAstroGuild,The Bridge,-,,ETC,QuantumAstroGuild,0,1,その他,その他
2017-11-09,フライハイワークス,キャットクエスト,33,,ARPG,フライハイワークス,0,1,アクションRPG,その他
2017-11-09,セガゲームス,ソニックフォース,35,YES,ACT,セガゲームス,999_0m_89n,1,3Dハイスピードアクション,その他
2017-11-09,ユービーアイソフト,モノポリー for Nintendo Switch,-,YES,ETC,ユービーアイソフト,1000_0m_90,1,その他,その他
2017-11-09,コーエーテクモゲームス,戦国無双 〜真田丸〜,-,YES,ETC,コーエーテクモゲームス,0,1,その他,その他
2017-11-09,コーエーテクモゲームス,無双OROCHI2 Ultimate,-,YES,ETC,コーエーテクモゲームス,1003_0m_93n,1,その他,その他
2017-11-09,コーエーテクモゲームス,真・三國無双7 Empires,-,YES,ETC,コーエーテクモゲームス,1001_0m_91n,1,その他,その他
2017-11-10,任天堂,いっしょにチョキッと スニッパーズ プラス,-,YES,ETC,任天堂,1044_0m_104,1,その他,その他
2017-11-14,Psyonix（英語版）,ロケットリーグ,-,,ETC,Psyonix（英語版）,0,1,その他,その他
2017-11-16,Rising Star Games,Lumo,-,,ETC,Rising Star Games,0,1,その他,その他
2017-11-16,Grey Box,RiME,-,,ETC,Grey Box,0,1,その他,その他
2017-11-16,フライハイワークス,テスラグラッド,-,,ETC,フライハイワークス,0,1,その他,その他
2017-11-16,ケムコ,忘失のイストリア,-,,ETC,ケムコ,0,1,その他,その他
2017-11-21,Raw Fury,Uurnog Uurnlimited,-,,ETC,Raw Fury,0,1,その他,その他
2017-11-22,ワーナー ブラザース ジャパン,LEGO ワールド 目指せマスタービルダー（英語版）,-,YES,ETC,ワーナー ブラザース ジャパン,1004_0m_94,1,その他,その他
2017-11-23,Adult Swim Games,Battle Chef Brigade,31,,ACT,Adult Swim Games,0,1,クッキングバトルアクション,その他
2017-11-23,レイニーフロッグ,キッドトリップ RUN!,-,,ETC,レイニーフロッグ,0,1,その他,その他
2017-11-23,フライハイワークス,スチームワールドディグ2,33,,ACT,フライハイワークス,0,1,2D採掘アクション,その他
2017-11-23,QuantumAstroGuild,タンブルストーン（英語版）,-,,ETC,QuantumAstroGuild,0,1,その他,その他
2017-11-23,Plug In Digital,トランスクリプティッド,-,,ETC,Plug In Digital,0,1,その他,その他
2017-11-24,マーベラス,シノビリフレ -SENRAN KAGURA-,-,,ETC,マーベラス,0,1,その他,その他
2017-11-30,オインクゲームズ,MUJO,-,,ETC,オインクゲームズ,0,1,その他,その他
2017-11-30,フライハイワークス,OPUS-地球計画,-,,ETC,フライハイワークス,0,1,その他,その他
2017-11-30,Vivid Helix,Semispheres,-,,ETC,Vivid Helix,0,1,その他,その他
2017-11-30,レイニーフロッグ,スターゴースト,-,,ETC,レイニーフロッグ,0,1,その他,その他
2017-11-30,カプコン,バイオハザード リベレーションズ アンベールド エディション,-,YES,ETC,カプコン,1019_0m_98,1,その他,その他
2017-11-30,カプコン,バイオハザード リベレーションズ2,-,,ETC,カプコン,0,1,その他,その他
2017-11-30,コーエーテクモゲームス,信長の野望・大志,36,YES,SLG,コーエーテクモゲームス,1005_0m_95,1,歴史シミュレーション,その他
2017-12-01,任天堂,ゼノブレイド2,35,YES,RPG,任天堂,1082_0m_123,1,RPG,その他
2017-12-06,テイクツー・インタラクティブ・ジャパン,WWE 2K18,-,,ETC,テイクツー・インタラクティブ・ジャパン,0,1,その他,その他
2017-12-06,任天堂,カラオケJOYSOUND for Nintendo Switch,-,,ETC,任天堂,0,1,その他,その他
2017-12-07,ROCKSTAR GAMESテイクツー・インタラクティブ・ジャパン,L.A.ノワール,-,YES,ETC,ROCKSTAR GAMESテイクツー・インタラクティブ・ジャパン,1080_0m_121,1,その他,その他
2017-12-07,Frozenbyte（英語版）,Nine Parchments,-,,ETC,Frozenbyte（英語版）,0,1,その他,その他
2017-12-07,Wired Productions,Vostok Inc.,-,,ETC,Wired Productions,0,1,その他,その他
2017-12-07,日本コロムビア,すみっコぐらし すみっコパークへようこそ,-,YES,ETC,日本コロムビア,1081_0m_122,1,その他,その他
2017-12-07,ゼロディブ,ガンバード for Nintendo Switch,-,,ETC,ゼロディブ,0,1,その他,その他
2017-12-07,フライハイワークス,スプラッシャー,-,,ETC,フライハイワークス,0,1,その他,その他
2017-12-07,MAGES.,ファントムブレイカー:バトルグラウンド オーバードライブ,-,,ETC,MAGES.,0,1,その他,その他
2017-12-07,ケムコ,妖談寺,-,,ETC,ケムコ,0,1,その他,その他
2017-12-14,Dry Cactus,Poly Bridge（英語版）,-,,ETC,Dry Cactus,0,1,その他,その他
2017-12-14,フライハイワークス,RIVE:アルティメットエディション（英語版）,-,,ETC,フライハイワークス,0,1,その他,その他
2017-12-14,スターサイン,ROCK'N RACING OFF ROAD DX,-,,ETC,スターサイン,0,1,その他,その他
2017-12-14,3goo,ギア・クラブ アンリミテッド（英語版）,30,YES,RCG,3goo,1078_0m_119,1,レース,その他
2017-12-14,レイニーフロッグ,スクウェアボーイ リベンジファイト,-,,ETC,レイニーフロッグ,0,1,その他,その他
