発売日,メーカー,タイトル,⭐クロスレビュー(評価),価格帯,ジャンル,シリーズ,ID,売り上げ本数(万本),ジャンル(詳細),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー
2011-10-20,ソニー・コンピュータエンタテインメント,ラチェット&クランク オールフォーワン,34,-,ACT,-,0,0,アクション,,,,,,,
2011-10-20,バンダイナムコゲームス,劇場版マクロスF〜サヨナラノツバサ〜 Hybrid Pack,-,-,-,-,sho/85,0,-,,,,,,,
2011-10-22,エレクトロニック・アーツ,FIFA12 ワールドクラスサッカー,39,-,SPT,FIFA,0,0,サッカー,,,,,,,
2011-10-27,バンダイナムコゲームス,THE IDOLM@STER 2,-,-,-,THE IDOLM@STER,0,0,-,,,,,,,
2011-10-27,サイバーフロント,"ウォーハンマー40,000:スペースマリーン",30,-,TPS,ウォーハンマー,0,0,TPS,,,,,,,
2011-10-27,日本一ソフトウェア,魔界戦記ディスガイア4 フーカ＆デスコ編はじめました,33,-,SRPG,魔界戦記ディスガイア,0,0,史上最凶のシミュレーションRPG,,,,,,,
2011-11-02,ソニー・コンピュータエンタテインメント,アンチャーテッド 砂漠に眠るアトランティス,35,-,AADV,-,aad/46,0,アクションアドベンチャー,,,,,,,
2011-11-02,エレクトロニック・アーツ,バトルフィールド3,36,-,FPS,バトルフィールド,0,0,FPS,,,,,,,
2011-11-10,ユービーアイソフト,ドライバー:サンフランシスコ,33,-,RCG,-,0,0,アクションレース,,,,,,,
2011-11-10,コナミデジタルエンタテインメント,メタルギアソリッド ピースウォーカー HD エディション,39,-,ETC,-,aad/47,0,諜報潜入オペレーション,,,,,,,
2011-11-10,カプコン,戦国BASARA3 宴,32,-,ACT,戦国BASARA,act/45,0,タクティカルアクション,,,,,,,
2011-11-17,THQジャパン,Saints Row: The Third,-,-,-,-,0,0,-,,,,,,,
2011-11-17,カプコン,ULTIMATE MARVEL VS. CAPCOM 3,-,-,-,ULTIMATE MARVEL VS. CAPCOM,0,0,-,,,,,,,
2011-11-17,コナミデジタルエンタテインメント,ぬらりひょんの孫 百鬼繚乱大戦,-,-,-,-,0,0,-,,,,,,,
2011-11-17,スクウェア・エニックス,コール オブ デューティ モダン・ウォーフェア3（字幕版）,39,-,FPS,コール オブ デューティ モダン・ウォーフェア,sho/88,0,FPS,,,,,,,
2011-11-17,エレクトロニック・アーツ,ザ・シムズ3 ペット,32,-,SLG,ザ・シムズ,0,0,シミュレーション,,,,,,,
2011-11-17,レベルファイブ,二ノ国 白き聖灰の女王,36,-,RPG,-,0,0,ファンタジーRPG,,,,,,,
2011-11-23,バンダイナムコゲームス,アイドルマスター アニメ＆G4U!パック VOL.2,-,-,-,アイドルマスター アニメ＆G,0,0,-,,,,,,,
2011-11-23,アクワイア,グラディエーター バーサス,-,-,-,-,0,0,-,,,,,,,
2011-11-23,ワーナー エンターテイメント ジャパン,バットマン アーカム・シティ,37,-,ACT,-,act/74,0,アクション,,,,,,,
2011-11-23,コナミデジタルエンタテインメント,メタルギア ソリッド HD エディション,33,-,ACT,-,aad/48,0,諜報潜入アクション,,,,,,,
2011-11-23,バンダイナムコゲームス,聖闘士星矢戦記,32,-,ACT,-,act/75,0,シネマティック乱戦アクション,,,,,,,
2011-11-23,ディースリー・パブリッシャー,街ingメーカー4,-,-,-,街ingメーカー,0,0,-,,,,,,,
2011-12-01,SNKプレイモア,THE KING OF FIGHTERS XIII,-,-,-,THE KING OF FIGHTERS,0,0,-,,,,,,,
2011-12-01,ユービーアイソフト,アサシン クリード リベレーション,37,-,ACT,-,0,0,アクション,,,,,,,
2011-12-01,セガ,ソニック ジェネレーションズ 白の時空,35,-,ACT,-,0,0,ハイスピードメモリアルアクション,,,,,,,
2011-12-01,ソニー・コンピュータエンタテインメント,ハッピーチャーリーと空飛ぶカーニバル,-,-,-,-,0,0,-,,,,,,,
2011-12-01,バンダイナムコゲームス,機動戦士ガンダム EXTREME VS.,38,-,ACT,機動戦士ガンダム EXTREME,cbt/45,0,チームバトルアクション,,,,,,,
2011-12-01,バンダイナムコゲームス,鉄拳ハイブリッド,33,-,FTG,-,0,0,3D対戦格闘,,,,,,,
2011-12-08,ベセスダ・ソフトワークス,The Elder Scrolls V: Skyrim,40,-,ARPG,The Elder Scrolls,0,0,アクションRPG,,,,,,,
2011-12-08,アクワイア,ウィザードリィ パーフェクトパック,-,-,-,-,0,0,-,,,,,,,
2011-12-08,バンダイナムコゲームス,ドラゴンボール アルティメットブラスト,31,-,ACT,-,0,0,3D対戦アクション,,,,,,,
2011-12-08,エレクトロニック・アーツ,ニード・フォー・スピード ザ・ラン,30,-,RCG,-,0,0,アクションレース,,,,,,,
2011-12-08,5pb.,ビヨンド ザ フューチャー フィックス ザ タイム アロー,-,-,-,-,0,0,-,,,,,,,
