発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2014-10-02,アイディアファクトリー,熱血異能部活譚 Trigger Kiss,31,YES,ADV,アイディアファクトリー,0,1,女性向け熱血恋愛アドベンチャー,PS Vita
2014-10-09,エレクトロニック・アーツ,FIFA 15FIFA 15: Legacy Edition,-,YES,ETC,エレクトロニック・アーツ,0,1,その他,PS Vita
2014-10-09,プロトタイプ,FLOWERS,-,YES,ETC,プロトタイプ,adv/235,1,その他,PS Vita
2014-10-09,ドラス,HIDEBOH タップダンスHERO,-,YES,ETC,ドラス,0,1,その他,PS Vita
2014-10-16,アイディアファクトリー,AMNESIA LATER×CROWD V Edition,-,YES,ETC,アイディアファクトリー,0,1,その他,PS Vita
2014-10-16,スクウェア・エニックス,CHAOS RINGS III -PREQUEL TRILOGY-,-,YES,ETC,スクウェア・エニックス,0,1,その他,PS Vita
2014-10-23,"Mossmouth, LLC",Spelunky【英語版】,-,,ETC,"Mossmouth, LLC",0,1,その他,PS Vita
2014-10-23,ソニー・コンピュータエンタテインメント,The Unfinished Swan,-,,ETC,ソニー・コンピュータエンタテインメント,0,1,その他,PS Vita
2014-10-23,バンダイナムコゲームス,スーパーヒーロージェネレーション,31,YES,SRPG,バンダイナムコゲームス,rpg/63,1,シミュレーションRPG,PS Vita
2014-10-23,コナミデジタルエンタテインメント,実況パワフルプロ野球2014,35,YES,SPT,コナミデジタルエンタテインメント,0,1,野球・育成,PS Vita
2014-10-29,ソニー・コンピュータエンタテインメント,Minecraft: PlayStation Vita Edition,33,YES,SLG,ソニー・コンピュータエンタテインメント,etc/61,1,サンドボックス,PS Vita
2014-10-30,Nitro+CHiRAL,DRAMAtical Murder re:code,31,YES,ADV,Nitro+CHiRAL,0,1,脳内クラッシュADV,PS Vita
2014-10-30,プロトタイプ,グリザイアの迷宮 -LE LABYRINTHE DE LA GRISAIA-,-,YES,ETC,プロトタイプ,adv/75,1,その他,PS Vita
2014-11-12,Pastagames,Pix the Cat【英語版】,-,,ETC,Pastagames,0,1,その他,PS Vita
2014-11-13,アイディアファクトリー,MARGINAL＃4 IDOL OF SUPERNOVA,-,YES,ETC,アイディアファクトリー,0,1,その他,PS Vita
2014-11-13,バンダイナムコゲームス,ハナヤマタ よさこいLIVE！,-,YES,ETC,バンダイナムコゲームス,0,1,その他,PS Vita
2014-11-13,セガ,電撃文庫 FIGHTING CLIMAX,33,YES,FTG,セガ,act/65,1,2D対戦格闘,PS Vita
2014-11-19,カプコン,モンスターハンター フロンティア G6,-,YES,ETC,カプコン,0,1,その他,PS Vita
2014-11-20,バンダイナムコゲームス,M3〜ソノ黑キ鋼〜///MISSION MEMENTO MORI,-,YES,ETC,バンダイナムコゲームス,0,1,その他,PS Vita
2014-11-20,アイディアファクトリー,戦場の円舞曲,31,YES,ADV,アイディアファクトリー,0,1,女性向け恋愛AVG,PS Vita
2014-11-27,アイディアファクトリーAksys Games,Code:Realize 〜創世の姫君〜Code: Realize − Guardian of Rebirth,-,YES,ETC,アイディアファクトリーAksys Games,0,1,その他,PS Vita
2014-11-27,角川ゲームス,Fate/hollow ataraxia,-,YES,ETC,角川ゲームス,0,1,その他,PS Vita
2014-11-27,コナミ,ニセコイ ヨメイリ!?,-,YES,ETC,コナミ,0,1,その他,PS Vita
2014-11-27,セガ,ファンタシースター NOVA,-,YES,ETC,セガ,0,1,その他,PS Vita
2014-11-27,日本一ソフトウェア,大江戸BlackSmith,30,YES,SLG,日本一ソフトウェア,0,1,女と金のシミュレーション,PS Vita
2014-11-27,シルバースタージャパン,銀星囲碁 ネクストジェネレーション,-,YES,ETC,シルバースタージャパン,0,1,その他,PS Vita
2014-12-03,インターグローImage & Form,スチームワールド ディグ,-,,ETC,インターグローImage & Form,0,1,その他,PS Vita
2014-12-04,テイクツー・インタラクティブ・ジャパン,BORDERLANDS 2,-,YES,ETC,テイクツー・インタラクティブ・ジャパン,0,1,その他,PS Vita
2014-12-04,アイディアファクトリー,DIABOLIK LOVERS VANDEAD CARNIVAL,-,YES,ETC,アイディアファクトリー,0,1,その他,PS Vita
2014-12-04,コーエーテクモゲームス,戦国無双 Chronicle 3Samurai Warriors: Chronicles 3,-,YES,ETC,コーエーテクモゲームス,0,1,その他,PS Vita
2014-12-11,アイディアファクトリーAksys Games,NORN9 VAR COMMONS,-,YES,ETC,アイディアファクトリーAksys Games,0,1,その他,PS Vita
2014-12-11,5pb.,カデンツァ フェルマータ アコルト：フォルテシモ,-,YES,ETC,5pb.,0,1,その他,PS Vita
