発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,プラットフォーム
2011-11-02,スクウェア・エニックス,スライムもりもりドラゴンクエスト3 大海賊としっぽ団,2,YES,その他,スクウェア・エニックス,0,1,その他
2011-11-02,ポイソフト,タケヤリマン,2,,その他,ポイソフト,0,1,その他
2011-11-03,ハムスター,AZITO 3D,2,YES,その他,ハムスター,0,1,その他
2011-11-03,アルケミスト Rising Star Games,nicola監修 モデル☆おしゃれオーディション2 Girls' Fashion Shoot,2,YES,その他,アルケミスト Rising Star Games,0,1,その他
2011-11-03,任天堂,スーパーマリオ 3Dランド,2,YES,その他,任天堂,0,1,その他
2011-11-03,スターフィッシュ・エスディ,ドッグスクール ラブリーパピー,2,YES,その他,スターフィッシュ・エスディ,0,1,その他
2011-11-10,フリュー,ジュエルペット魔法のリズムでイェイッ!,2,YES,その他,フリュー,0,1,その他
2011-11-10,ユービーアイソフト,ドライバー:レネゲイド3D,2,YES,その他,ユービーアイソフト,0,1,その他
2011-11-16,任天堂,ひらり 桜侍 Sakura Samurai: Art of the Sword,2,,その他,任天堂,0,1,その他
2011-11-17,セガ,Shinobi 3D,2,YES,その他,セガ,0,1,その他
2011-11-17,エレクトロニック・アーツ,ザ・シムズ3 ペット,2,YES,その他,エレクトロニック・アーツ,0,1,その他
2011-11-22,シルバースタージャパン,銀星囲碁3D,2,,その他,シルバースタージャパン,0,1,その他
2011-11-24,コーエーテクモゲームス,FabStyle,2,YES,その他,コーエーテクモゲームス,0,1,その他
2011-11-24,アイレムソフトウェアエンジニアリング,パチパラ3D プレミアム海物語 〜夢見る乙女とパチンコ王決定戦〜,2,YES,その他,アイレムソフトウェアエンジニアリング,0,1,その他
2011-11-24,アイディアファクトリー Aksys Games,薄桜鬼 3D Hakuōki: Memories of the Shinsengumi,2,YES,その他,アイディアファクトリー Aksys Games,0,1,その他
2011-11-30,アークシステムワークス,ARC STYLE: シンプル麻雀3D,2,,その他,アークシステムワークス,0,1,その他
2011-12-01,日本コロムビア,お茶犬といつもなかよし,2,YES,その他,日本コロムビア,0,1,その他
2011-12-01,オフィスクリエイト 北米: Majesco Entertainment 欧州: 505 Games,クッキングママ 4Cooking Mama 4: Kitchen Magic,2,YES,その他,オフィスクリエイト 北米: Majesco Entertainment 欧州: 505 Games,0,1,その他
2011-12-01,バンダイナムコゲームス,クレヨンしんちゃん 宇宙DEアチョー!? 友情のおバカラテ!!,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-12-01,セガ,ソニック ジェネレーションズ 青の冒険,2,YES,その他,セガ,0,1,その他
2011-12-01,任天堂,マリオカート7,2,YES,その他,任天堂,0,1,その他
2011-12-07,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.2 THE 密室からの脱出 〜学校の旧校舎編〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
2011-12-08,エレクトロニック・アーツ,ニード・フォー・スピード ザ・ラン,2,YES,その他,エレクトロニック・アーツ,0,1,その他
2011-12-08,コナミデジタルエンタテインメント,ワールドサッカー ウイニングイレブン 2012Pro Evolution Soccer 2012,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2011-12-10,カプコン,モンスターハンター3（トライ）G,2,YES,その他,カプコン,0,1,その他
2011-12-15,エム・ティー・オー Ubisoft,かわいい仔犬3D Puppies 3D,2,YES,その他,エム・ティー・オー Ubisoft,0,1,その他
2011-12-15,セガ,ぷよぷよ!!,2,YES,その他,セガ,0,1,その他
2011-12-15,レベルファイブ Nintendo,イナズマイレブン GO シャイン Inazuma Eleven GO: Light,2,YES,その他,レベルファイブ Nintendo,0,1,その他
2011-12-15,レベルファイブ Nintendo,イナズマイレブン GO ダーク Inazuma Eleven GO: Shadow,2,YES,その他,レベルファイブ Nintendo,0,1,その他
2011-12-15,コナミデジタルエンタテインメント,ペンギンの問題 ザ・ウォーズ,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2011-12-15,アークシステムワークス,熱血硬派くにおくん すぺしゃる,2,YES,その他,アークシステムワークス,0,1,その他
2011-12-15,システムソフト・アルファー,萌え萌え大戦争☆げんだいばーん 3D,2,YES,その他,システムソフト・アルファー,0,1,その他
2011-12-22,IEインスティテュート,ESSEらくらく家計簿,2,YES,その他,IEインスティテュート,0,1,その他
2011-12-22,コードマスターズ,F1 2011（英語版）,2,YES,その他,コードマスターズ,0,1,その他
2011-12-22,バンダイナムコゲームス,SDガンダム GGENERATION 3D,2,YES,その他,バンダイナムコゲームス,0,1,その他
2011-12-27,任天堂,とびだすプリクラ☆キラデコレボリューション,2,,その他,任天堂,0,1,その他
2011-12-28,ジュピター,ピクロスe2,2,,その他,ジュピター,0,1,その他
2011-12-28,アークシステムワークス,鹿狩王,2,,その他,アークシステムワークス,0,1,その他
2012-01-11,シルバースタージャパンAgetec,ラビ×ラビ えぴそーど3 Rabi Laby 3,2,,その他,シルバースタージャパンAgetec,0,1,その他
2012-01-12,バンダイナムコゲームス,エースコンバット3D クロスランブルAce Combat: Assault Horizon Legacy,2,YES,その他,バンダイナムコゲームス,0,1,その他
2012-01-12,ユービーアイソフト,タンタンの冒険 ★ユニコーン号の秘密★The Adventures of Tintin: The Game,2,YES,その他,ユービーアイソフト,0,1,その他
2012-01-12,任天堂,心霊カメラ 〜憑いてる手帳〜Spirit Camera: The Cursed Memoir,2,YES,その他,任天堂,0,1,その他
2012-01-18,任天堂,3Dクラシックス 光神話 パルテナの鏡3D Classics: Kid Icarus,2,,その他,任天堂,0,1,その他
2012-01-19,コナミデジタルエンタテインメント,ラビリンスの彼方,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2012-01-19,ロケットカンパニー 北米: Majesco Entertainment 欧州: Ghostlight,ランナバウト3D ドライブ：インポッシブル Crash City Mayhem,2,YES,その他,ロケットカンパニー 北米: Majesco Entertainment 欧州: Ghostlight,0,1,その他
2012-01-19,セガ,リズム怪盗R 皇帝ナポレオンの遺産 Rhythm Thief & the Emperor's Treasure,2,YES,その他,セガ,0,1,その他
2012-01-25,アークシステムワークス,ARC STYLE:スパイダーソリティア,2,,その他,アークシステムワークス,0,1,その他
2012-01-26,ロボット,ズーキーパー3D,2,YES,その他,ロボット,0,1,その他
2012-01-26,カプコン,バイオハザード リベレーションズResident Evil: Revelations,2,YES,その他,カプコン,0,1,その他
2012-02-02,ディースリー・パブリッシャー,フィッシング3DAngler's Club: Ultimate Bass Fishing 3D,2,YES,その他,ディースリー・パブリッシャー,0,1,その他
2012-02-08,ジニアス・ソノリティ,電波人間のRPGThe Denpa Men: They Came By Wave,2,,その他,ジニアス・ソノリティ,0,1,その他
2012-02-13,コナミデジタルエンタテインメント,ラブプラスTOOLS,2,,その他,コナミデジタルエンタテインメント,0,1,その他
2012-02-14,コナミデジタルエンタテインメント,NEWラブプラス,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2012-02-16,スクウェア・エニックス,シアトリズム ファイナルファンタジー,2,YES,その他,スクウェア・エニックス,0,1,その他
2012-02-16,チュンソフト 北米: Aksys Games 欧州: Rising Star Games,極限脱出ADV 善人シボウデス Zero Escape: Virtue's Last Reward,2,YES,その他,チュンソフト 北米: Aksys Games 欧州: Rising Star Games,0,1,その他
2012-02-16,バンダイナムコゲームス,鉄拳 3D プライム エディション,2,YES,その他,バンダイナムコゲームス,0,1,その他
2012-02-22,アークシステムワークス,TRUE REMEMBRANCE 〜記憶のかけら〜,2,,その他,アークシステムワークス,0,1,その他
2012-02-22,任天堂,ザ・ローリング・ウエスタン Dillon's Rolling Western,2,,その他,任天堂,0,1,その他
2012-02-23,セガ,ナイトメアパズル クラッシュ3D Crush 3D,2,YES,その他,セガ,0,1,その他
2012-02-23,マーベラスAQL 北米: Natsume 欧州: Zen United,牧場物語 はじまりの大地Harvest Moon: A New Beginning,2,YES,その他,マーベラスAQL 北米: Natsume 欧州: Zen United,0,1,その他
2012-02-29,アークシステムワークス,おきらく大富豪3D,2,,その他,アークシステムワークス,0,1,その他
2012-03-01,フリュー,ドラえもん のび太と奇跡の島 〜アニマルアドベンチャー〜,2,YES,その他,フリュー,0,1,その他
2012-03-01,任天堂 SEGA,マリオ&ソニック AT ロンドンオリンピックMario & Sonic at the London 2012 Olympic Games,2,YES,その他,任天堂 SEGA,0,1,その他
2012-03-08,レベルファイブ,ガールズRPG シンデレライフ,2,YES,その他,レベルファイブ,0,1,その他
2012-03-08,コナミデジタルエンタテインメント,メタルギアソリッド スネークイーター 3D,2,YES,その他,コナミデジタルエンタテインメント,0,1,その他
2012-03-08,セガ,初音ミク and Future Stars Project mirai,2,YES,その他,セガ,0,1,その他
2012-03-14,Gモード,ドーパミックス,2,,その他,Gモード,0,1,その他
2012-03-15,ディースリー・パブリッシャー,女の子と密室にいたら○○しちゃうかもしれない。,2,YES,その他,ディースリー・パブリッシャー,0,1,その他
2012-03-22,バンダイナムコゲームス,パックマンパーティ 3D,2,YES,その他,バンダイナムコゲームス,0,1,その他
2012-03-22,日本コロムビア,姫ギャル♥パラダイス メチカワ! アゲ盛り↑センセーション!,2,YES,その他,日本コロムビア,0,1,その他
2012-03-22,任天堂,新・光神話 パルテナの鏡 Kid Icarus: Uprising,2,YES,その他,任天堂,0,1,その他
2012-03-29,スクウェア・エニックス,キングダム ハーツ 3D ［ドリーム ドロップ ディスタンス］,2,YES,その他,スクウェア・エニックス,0,1,その他
2012-04-04,ディースリー・パブリッシャー,@SIMPLE DLシリーズ Vol.3 THE 密室からの脱出 〜セレブな豪邸編〜,2,,その他,ディースリー・パブリッシャー,0,1,その他
