発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,未使用,販売本数,プラットフォーム
2023-12-14,PLAYISM,グノーシア,2,,その他,PLAYISM,0,1,Xbox One
2023-12-14,"E-Home Entertianment Development Co., Ltd",ハードコア・メカ：ブレイブエディション,2,,その他,"E-Home Entertianment Development Co., Ltd",0,1,Xbox One
2023-12-20,COWCAT,BROK the InvestiGator 名探偵ブロクと秘密の依頼,2,,その他,COWCAT,0,1,Xbox One
2023-12-20,Sarepta Studio,My Child Lebensborn Remastered（マイ・チルド レーベンスボルン リマスター）,2,,その他,Sarepta Studio,0,1,Xbox One
2023-12-20,"Eastasiasoft Limited, Galope",Ravva and the Phantom Library,2,,その他,"Eastasiasoft Limited, Galope",0,1,Xbox One
2023-12-20,Omni Games,Vostok 2061,2,,その他,Omni Games,0,1,Xbox One
2023-12-20,Take IT Studio! sp. z o. o.,fig.game,2,,その他,Take IT Studio! sp. z o. o.,0,1,Xbox One
2023-12-21,Two Star Games,Choo-Choo Charles（チューチュー・チャールズ）,2,,その他,Two Star Games,0,1,Xbox One
2023-12-21,Daedalic Entertainment,Rough Justice: '84,2,,その他,Daedalic Entertainment,0,1,Xbox One
2023-12-21,The Game Publisher,STUFFED,2,,その他,The Game Publisher,0,1,Xbox One
2023-12-21,Assemble Entertainment,Three Minutes To Eight,2,,その他,Assemble Entertainment,0,1,Xbox One
2023-12-21,3goo,ザ・ランブルフィッシュ＋,2,,その他,3goo,0,1,Xbox One
2023-12-21,Mindscape,ペーパーマン： 冒険の配達,2,,その他,Mindscape,0,1,Xbox One
2023-12-22,Super PowerUp Games,9Ball Pocket,2,,その他,Super PowerUp Games,0,1,Xbox One
2023-12-22,ケムコ,刃神のアマテラス,2,,その他,ケムコ,0,1,Xbox One
2023-12-23,Vulcron,Pixel Strike 3D,2,,その他,Vulcron,0,1,Xbox One
2023-12-28,"E-Home Entertianment Development Co., Ltd",Metal Mind,2,,その他,"E-Home Entertianment Development Co., Ltd",0,1,Xbox One
2024-01-05,Untold Tales,Tools Up - Ultimate Edition,2,,その他,Untold Tales,0,1,Xbox One
2024-01-09,Devolver Digital,Enter x Exit the Gungeon,2,,その他,Devolver Digital,0,1,Xbox One
2024-01-11,Gaming Factory S.A.,Electrician Simulator,2,,その他,Gaming Factory S.A.,0,1,Xbox One
2024-01-18,"Amplitude STUDIOS, SEGA",ENDLESS Dungeon（エンドレス ダンジョン）,2,,その他,"Amplitude STUDIOS, SEGA",0,1,Xbox One
2024-01-18,コーラス・ワールドワイド合同会社,ザ・ピクセルパルプ・コレクション,2,,その他,コーラス・ワールドワイド合同会社,0,1,Xbox One
2024-01-18,ユービーアイソフト,プリンス オブ ペルシャ 失われた王冠,2,,その他,ユービーアイソフト,0,1,Xbox One
2024-01-19,ポケットペア,PALWORLD（パルワールド）,2,,その他,ポケットペア,0,1,Xbox One
2024-01-19,Deck13 Spotlight,Rising Lords,2,,その他,Deck13 Spotlight,0,1,Xbox One
2024-01-19,Graffiti Games,Turnip Boy Robs a Bank,2,,その他,Graffiti Games,0,1,Xbox One
2024-01-19,ケムコ,グレイアランの吸血騎士,2,,その他,ケムコ,0,1,Xbox One
2024-01-26,SEGA,龍が如く８,2,,その他,SEGA,0,1,Xbox One
2024-02-01,Ellada Games,Knights of Braveland,2,,その他,Ellada Games,0,1,Xbox One
