id,release_date,title,publisher,bit_memory,price
1681,2010-10-14,財団法人日本漢字能力検定協会協力 漢検DSトレーニング,アイイーインスティテュート,256 Mb,2800
1682,2010-10-14,東京トワイライト・バスターズ 〜禁断の生贄帝都地獄変〜,スターフィッシュ・エスディ,512 Mb,5800
1683,2010-10-14,銀河鉄道999DS,カルチャーブレーン,1 Gb,5999
1684,2010-10-21,ストライクウィッチーズ2 いやす・なおす・ぷにぷにする,角川書店,1 Gb,5800
1685,2010-10-21,マル合格資格奪取! ケアマネジャー試験,メディア・ファイブ,512 Mb,4200
1686,2010-10-28,黄金の太陽 漆黒なる夜明け,任天堂,2 Gb,4800
1687,2010-10-28,ザックとオンブラ まぼろしの遊園地,コナミデジタルエンタテインメント,1 Gb,4980
1688,2010-10-28,Solatorobo それからCODAへ,バンダイナムコゲームス,512 Mb,4800
1689,2010-10-28,わんニャンどうぶつ病院,日本コロムビア,256 Mb,4800
1690,2010-11-03,ラジアントヒストリア,アトラス,1 Gb,5980
1691,2010-11-04,ド根性小学生ボン・ビー太 裸の頂上ケツ戦!! ビー太vsドクロでい!,バンダイナムコゲームス,512 Mb,4800
1692,2010-11-11,クラフトママ,オフィスクリエイト,512 Mb,4800
1693,2010-11-11,たまごっちのなりきりチャレンジ,バンダイナムコゲームス,512 Mb,4800
1694,2010-11-11,とんがりボウシと魔法のお店,コナミデジタルエンタテインメント,1 Gb,4980
1695,2010-11-11,こえであそぼう ハートキャッチプリキュア!,東映アニメーション,512 Mb,4980
1696,2010-11-18,維新の嵐 疾風龍馬伝,コーエーテクモゲームス,512 Mb,4800
1697,2010-11-18,ソニック カラーズ,セガ,512 Mb,4800
1698,2010-11-18,もっと!スティッチ!DS リズムでラクガキ大作戦♪,ディズニー・インタラクティブ・スタジオ,512 Mb,4800
1699,2010-11-18,スーパーカセキホリダー,任天堂,2 Gb,4800
1700,2010-11-25,極上!!めちゃモテ委員長MMマイベストフレンド!,コナミデジタルエンタテインメント,512 Mb,5000
1701,2010-11-25,スーパーロボット大戦L,バンダイナムコゲームス,1 Gb,5800
1702,2010-11-25,高橋書店監修 最頻出!SPIパーフェクト問題集DS 2012年度版,元気,128 Mb,2980
1703,2010-11-25,DS-PICOシリーズ サンリオピューロランド ワクワクおかいもの ステキなお部屋をつくりましょ!,コンパイルハート,256 Mb,4800
1704,2010-11-25,パワプロクンポケット13,コナミデジタルエンタテインメント,1 Gb,5000
1705,2010-11-25,マル合格資格奪取! TAC公務員試験,メディア・ファイブ,512 Mb,4800
1706,2010-11-25,みんなとキミの ピラメキーノ!,バンダイナムコゲームス,512 Mb,4800
1707,2010-11-25,歴史大戦ゲッテンカ 天下一バトルロイヤル,セガ,1 Gb,4800
1708,2010-12-01,症候診断トレーニングDS,メディカ出版,128 Mb,8800
1709,2010-12-02,SDガンダム三国伝 BraveBattleWarriors 真三璃紗大戦,バンダイナムコゲームス,512 Mb,4800
1710,2010-12-02,クレヨンしんちゃん ショックガ〜ン!伝説を呼ぶオマケ大ケツ戦!!,バンダイナムコゲームス,512 Mb,4800
1711,2010-12-02,のりのり♪リラックマ 〜ヒットソング音楽祭〜,ロケットカンパニー,512 Mb,4800
1712,2010-12-02,マリオvs.ドンキーコング 突撃!ミニランド,任天堂,256 Mb,4800
1713,2010-12-02,メタルファイト ベイブレード 頂上決戦!ビッグバンブレーダーズ,ハドソン,512 Mb,4980
1714,2010-12-02,かわいい子猫DS3,エム・ティー・オー,256 Mb,4800
1715,2010-12-02,ペンギンの問題 ザ・ワールド,コナミ,512 Mb,5000
1716,2010-12-02,桃太郎電鉄WORLD,ハドソン,256 Mb,5200
1717,2010-12-03,KORG M01,デチューン,512 Mb,5980
1718,2010-12-09,二ノ国 漆黒の魔導士,レベルファイブ,4 Gb,6800
1719,2010-12-09,爆丸バトルブローラーズDS ディフェンダー オブ ザ コア,セガ,512 Mb,4800
1720,2010-12-09,うちの3姉妹のカラオケ歌合戦&パーティーゲーム,カルチャーブレーン,512 Mb,4800
1721,2010-12-09,不思議のダンジョン 風来のシレン5 フォーチュンタワーと運命のダイス,チュンソフト,512 Mb,5800
1722,2010-12-09,ミスタードーナツDS,日本コロムビア,128 Mb,4800
1723,2010-12-15,"母子手帳DS with ""赤ちゃんマッサージ""",甲南電機製作所,256 Mb,4800
1724,2010-12-16,イナズマイレブン3 世界への挑戦!! ジ・オーガ,レベルファイブ,4 Gb,4980
1725,2010-12-16,マル合格資格奪取! 社会保険労務士試験,メディア・ファイブ,512 Mb,4200
1726,2010-12-16,どんだけスポーツ101,スターフィッシュ・エスディ,256 Mb,3800
1727,2010-12-16,プーペガールDS2 〜スウィートピンクスタイル〜,アルヴィオン,2 Gb,4800
1728,2010-12-16,プーペガールDS2 〜エレガントミントスタイル〜,アルヴィオン,2 Gb,4800
1729,2011-01-01,解剖生理学DS タッチでひろがる!人体の構造と機能,メディカ出版,256 Mb,6800
1730,2011-01-06,サガ3時空の覇者 Shadow or Light,スクウェア・エニックス,1 Gb,5980
1731,2011-01-20,怪獣バスターズ パワード,バンダイナムコゲームス,1 Gb,4800
1732,2011-01-20,ぞんびだいすき,チュンソフト,256 Mb,4800
1733,2011-01-20,えいごで旅する リトル・チャロ,任天堂,4 Gb,3800
1734,2011-01-27,そらのおとしもの フォルテ ドリーミーシーズン,角川書店,1 Gb,5800
1735,2011-01-27,ヒラメキパズル マックスウェルの不思議なノート,コナミデジタルエンタテインメント,256 Mb,3980
1736,2011-02-03,逆転検事2,カプコン,512 Mb,5040
1737,2011-02-03,新マル合格資格奪取! ITパスポート試験 基本情報技術者試験 応用情報技術者試験,メディアファイブ,1 Gb,4800
